label,status,schema_version,machine,test,impl,mode,threads,chain_len,chain_order,filter_style,tree_cache,format,tag,input,n_events,n_tracks,wall_setup,wall_warmup,wall_jit,wall_loop,wall_fixed,bytes_setup,bytes_warmup,bytes_jit,bytes_loop,bytes_total,columns_zip_bytes,read_amplification,peak_rss_kb,rss_baseline_kb,peak_rss_net_kb,time_maxrss_kb,cpu_percent,elapsed_s,events_per_s,tracks_per_s,event_loops,exit_code,timeout_s,root_version,checksums
quick_filter_rdf,ok,2,ares,filter,rdf,vector,0,,notebook,jit,default,ttree,,test.root,346825,,0.06821498647332191,2.5261316150426865,0.05257756356149912,0.22881114296615124,2.6469241650775075,744880,1756209,372440,987661,4235319,778685,1.2683703936765187,500380,347848,152532,501108,99,4.22,1515769.7107929178,,,,,6.32.10,"{""events_passed"": 59946}"
quick_filter_python,ok,2,ares,filter,python,vector,0,,notebook,jit,default,ttree,,test.root,346825,,0.32696112152189016,,,3.9976144870743155,0.32696112152189016,768548,,,1360101,2502778,778685,1.7466639270051434,704120,347604,356516,704120,99,5.64,86757.99057698195,,,,,6.32.10,"{""events_passed"": 59946}"
quick_filter_uproot,ok,2,ares,filter,uproot,vector,0,,notebook,jit,default,ttree,,test.root,346825,,0.032912710681557655,,,0.6002931147813797,0.032912710681557655,372440,,,1146025,746569,778685,1.4717440299992937,463520,347720,115800,463676,64,3.42,577759.4169580138,,,,,6.32.10,"{""events_passed"": 59946}"
quick_chain_lazy,ok,2,ares,chain,rdf-lazy,vector,0,3,notebook,jit,default,ttree,,test.root,346825,,0.0732063977047801,2.9274479700252414,0.05677408538758755,0.4242225643247366,3.057428453117609,744880,2236343,372440,1467795,5195587,1467795,1.0,503916,347768,156148,504668,99,4.82,817554.3433246285,,1,,,6.32.10,"{""events_passed"": 75275, ""intermediate"": null}"
quick_chain_python,ok,2,ares,chain,python,vector,0,3,notebook,jit,default,ttree,,test.root,346825,,0.3246412184089422,,,42.26334142126143,0.3246412184089422,768548,,,1840235,2982912,1467795,1.2537411559516145,839476,347652,491824,839476,99,43.91,8206.284414263626,,1,,,6.32.10,"{""events_passed"": 75275, ""intermediate"": [346825, 311565, 276737, 75275]}"
quick_chain_uproot,ok,2,ares,chain,uproot,vector,0,3,notebook,jit,default,ttree,,test.root,346825,,0.03296613413840532,,,0.7123483121395111,0.03296613413840532,372440,,,1835135,746569,1467795,1.2502665562970305,487884,347820,140064,488124,66,3.5,486875.5833200815,,1,,,6.32.10,"{""events_passed"": 75275, ""intermediate"": [346825, 311565, 276737, 75275]}"
quick_eff_jit,ok,2,ares,efficiency,jit,vector,0,,notebook,jit,default,ttree,,test.root,346825,514131,0.4248031424358487,4.386740046553314,0.0017123641446232796,0.941810897551477,4.813255553133786,1117320,10240641,0,10288643,22020733,10079667,1.020732430942411,566236,347760,218476,566980,99,7.05,368253.3307924943,545896.2105202217,,,,6.32.10,"{""eff_sum"": 62512.31060427427, ""eff_hits"": 64862}"
quick_eff_python,ok,2,ares,efficiency,python,vector,0,,notebook,jit,default,ttree,,test.root,346825,514131,1.3746029995381832,,,4.041102766990662,1.3746029995381832,1140988,,,10288643,11803760,10079667,1.020732430942411,661300,351180,310120,661300,99,6.71,85824.34548138811,127225.42079345939,,,,6.32.10,"{""eff_sum"": 62512.310602903366, ""eff_hits"": 64862}"
quick_eff_uproot,ok,2,ares,efficiency,uproot,vector,0,,notebook,jit,default,ttree,,test.root,346825,514131,0.2232145993039012,,,1.3704487411305308,0.2232145993039012,372440,,,10447007,746569,10079667,1.0364436642599404,549928,348068,201860,549928,99,3.08,253074.04034235678,375155.2207460714,,,,6.32.10,"{""eff_sum"": 62512.310602903366, ""eff_hits"": 64862}"
quick_select,ok,2,ares,selectivity,contiguous,vector,0,,notebook,jit,default,ttree,,test.root,346825,,0.07150044664740562,3.900976799428463,0.05670128017663956,0.34565450344234705,4.029178526252508,744880,768548,372440,3932460,6192457,3728036,1.0548342344333586,541316,363988,177328,542044,99,5.72,1003386.3194201032,,,,,6.32.10,"{""events_passed"": 60000, ""xi_sum"": 25927.608728326857}"
r1_filter_rdf_t1,ok,2,ares,filter,rdf,vector,1,,notebook,jit,default,ttree,,ds_x8.root,2774600,,0.26224874425679445,2.5718002524226904,0.1345389224588871,1.3910847967490554,2.968587919138372,8915354,1756209,4457677,23233250,42821856,12290783,1.890298608314865,607268,347924,259344,607572,89,6.09,1994558.4959911855,,,,,6.32.10,"{""events_passed"": 479568}"
