t_s,rss_kb,phase
0.000,347652,start
0.115,357816,start
0.314,397372,setup
0.571,416232,after_setup
2.137,498724,loop
3.493,548164,loop
3.670,592560,loop
3.820,645360,loop
3.940,685728,loop
4.135,734944,loop
4.283,781408,loop
4.472,836584,loop
4.575,837940,loop
4.676,837940,loop
4.779,837940,loop
4.880,837940,loop
4.982,837940,loop
5.083,837940,loop
5.186,837940,loop
5.287,837940,loop
5.390,837940,loop
5.492,837940,loop
5.593,837940,loop
5.693,837940,loop
5.794,837940,loop
5.895,837940,loop
5.995,837940,loop
6.097,837940,loop
6.197,837940,loop
6.299,837940,loop
6.400,837940,loop
6.501,837940,loop
6.603,837940,loop
6.704,837940,loop
6.804,837940,loop
6.906,837940,loop
7.008,837940,loop
7.110,837940,loop
7.211,837940,loop
7.315,837940,loop
7.419,837940,loop
7.519,837940,loop
7.620,837940,loop
7.721,837940,loop
7.823,837940,loop
7.924,837940,loop
8.027,837940,loop
8.128,837940,loop
8.228,837940,loop
8.330,837940,loop
8.431,837940,loop
8.533,837940,loop
8.634,837940,loop
8.737,837940,loop
8.838,837940,loop
8.940,837940,loop
9.041,837940,loop
9.142,837940,loop
9.243,837940,loop
9.345,837940,loop
9.446,837940,loop
9.547,837940,loop
9.648,837940,loop
9.751,837940,loop
9.852,837940,loop
9.952,837940,loop
10.053,837940,loop
10.155,837940,loop
10.256,837940,loop
10.358,837940,loop
10.460,837940,loop
10.561,837940,loop
10.662,837940,loop
10.763,837940,loop
10.864,837940,loop
10.965,837940,loop
11.066,837940,loop
11.168,837940,loop
11.268,837940,loop
11.369,837940,loop
11.471,837940,loop
11.574,837940,loop
11.675,837940,loop
11.776,837940,loop
11.877,837940,loop
11.978,837940,loop
12.079,837940,loop
12.179,837940,loop
12.280,837940,loop
12.382,837940,loop
12.482,837940,loop
12.583,837940,loop
12.685,837940,loop
12.786,837940,loop
12.886,837940,loop
12.988,837940,loop
13.088,837940,loop
13.189,837940,loop
13.290,837940,loop
13.390,838196,loop
13.493,838196,loop
13.594,838196,loop
13.695,838196,loop
13.797,838196,loop
13.898,838196,loop
14.000,838196,loop
14.102,838196,loop
14.203,838196,loop
14.304,838196,loop
14.405,838196,loop
14.506,838196,loop
14.607,838196,loop
14.708,838196,loop
14.810,838196,loop
14.911,838196,loop
15.014,838196,loop
15.114,838196,loop
15.215,838196,loop
15.318,838196,loop
15.420,838196,loop
15.522,838196,loop
15.623,838196,loop
15.726,838196,loop
15.828,838196,loop
15.928,838196,loop
16.029,838196,loop
16.131,838196,loop
16.232,838196,loop
16.333,838196,loop
16.434,838196,loop
16.534,838196,loop
