t_s,rss_kb,phase
0.000,347820,start
0.110,356168,start
0.225,374864,setup
0.374,383920,after_setup
0.474,386188,after_setup
0.574,387240,after_setup
0.674,390180,after_setup
0.774,391536,after_setup
0.874,391800,after_setup
0.974,392064,after_setup
1.074,393836,after_setup
1.174,395696,after_setup
1.274,396224,after_setup
1.375,396488,after_setup
1.475,397280,after_setup
1.575,399252,after_setup
1.675,402884,after_setup
1.780,409536,loop
1.895,415564,loop
2.027,420260,loop
2.148,426576,loop
2.253,441556,loop
2.353,456580,loop
