t_s,rss_kb,phase
0.000,347720,start
0.114,358616,start
0.301,381368,after_setup
0.401,383396,after_setup
0.501,385512,after_setup
0.601,387360,after_setup
0.701,390036,after_setup
0.801,390300,after_setup
0.901,390564,after_setup
1.001,391240,after_setup
1.101,393656,after_setup
1.202,394704,after_setup
1.302,396908,after_setup
1.402,397172,after_setup
1.502,398228,after_setup
1.602,400472,after_setup
1.702,402056,after_setup
1.808,410616,loop
1.928,416652,loop
2.043,421236,loop
2.169,427572,loop
2.274,442796,loop
