t_s,rss_kb,phase
0.000,347708,start
0.113,357620,start
0.294,396684,setup
0.554,419208,after_setup
2.012,496784,loop
4.399,594180,loop
4.531,627064,loop
4.715,688312,loop
4.892,735832,loop
5.017,777808,loop
5.182,824000,loop
5.393,878156,loop
5.498,947944,loop
5.770,1026728,loop
5.871,1026912,loop
5.971,1026920,loop
6.072,1026924,loop
6.172,1026924,loop
6.277,1026928,loop
6.379,1026932,loop
6.479,1026936,loop
6.584,1026944,loop
6.688,1026944,loop
6.790,1026948,loop
6.891,1026952,loop
6.993,1026956,loop
7.093,1026956,loop
7.195,1026960,loop
7.297,1026964,loop
7.400,1026968,loop
7.503,1026972,loop
7.604,1026972,loop
7.707,1026976,loop
7.810,1026976,loop
7.911,1026984,loop
8.013,1026988,loop
8.115,1026988,loop
8.219,1026988,loop
8.323,1026988,loop
8.423,1026988,loop
8.529,1027000,loop
8.636,1027000,loop
8.742,1027000,loop
8.846,1027000,loop
8.946,1027000,loop
9.050,1027016,loop
9.157,1027016,loop
9.258,1027016,loop
9.359,1027016,loop
9.459,1027016,loop
9.567,1027032,loop
9.668,1027032,loop
9.777,1027032,loop
9.882,1027032,loop
9.984,1027032,loop
10.088,1027048,loop
10.190,1027048,loop
10.291,1027048,loop
10.395,1027048,loop
10.507,1027060,loop
10.607,1027060,loop
10.710,1027060,loop
10.823,1027060,loop
10.929,1027072,loop
11.031,1027072,loop
11.132,1027072,loop
11.234,1027072,loop
11.340,1027072,loop
11.443,1027088,loop
11.545,1027088,loop
11.650,1027088,loop
11.751,1027088,loop
11.853,1027088,loop
11.958,1027104,loop
12.060,1027104,loop
12.161,1027104,loop
12.262,1027104,loop
12.364,1027104,loop
12.467,1027104,loop
12.569,1027124,loop
12.670,1027932,loop
12.771,1027932,loop
12.878,1027932,loop
12.979,1027932,loop
13.080,1027948,loop
13.182,1027948,loop
13.285,1027952,loop
13.391,1027956,loop
13.510,1027960,loop
13.613,1027964,loop
13.720,1027968,loop
13.821,1027968,loop
13.923,1027972,loop
14.024,1027976,loop
14.126,1027980,loop
14.232,1027984,loop
14.334,1027984,loop
14.435,1027988,loop
14.540,1027992,loop
14.645,1027996,loop
14.749,1028000,loop
14.849,1028000,loop
14.950,1028004,loop
15.051,1028008,loop
15.152,1028008,loop
15.252,1028012,loop
15.354,1028016,loop
15.461,1028020,loop
15.563,1028024,loop
15.664,1028024,loop
15.768,1028028,loop
15.869,1028032,loop
15.970,1028036,loop
16.072,1028040,loop
16.175,1028040,loop
16.280,1028044,loop
16.381,1028048,loop
16.483,1028052,loop
16.585,1028052,loop
16.686,1028056,loop
16.789,1028060,loop
16.894,1028060,loop
16.998,1028064,loop
17.098,1028068,loop
17.203,1028068,loop
17.306,1028072,loop
17.412,1028076,loop
17.519,1028080,loop
17.624,1028084,loop
17.725,1028088,loop
17.831,1028088,loop
17.939,1028092,loop
18.042,1028096,loop
18.143,1028100,loop
18.246,1028104,loop
18.348,1028104,loop
18.451,1028108,loop
18.551,1028112,loop
18.652,1028112,loop
18.757,1028116,loop
18.865,1028120,loop
18.965,1028124,loop
19.076,1028128,loop
19.179,1028132,loop
19.290,1028132,loop
19.393,1028136,loop
19.494,1028140,loop
19.595,1028140,loop
19.697,1028144,loop
19.797,1028148,loop
19.898,1028152,loop
20.005,1028156,loop
20.106,1028160,loop
20.208,1028160,loop
20.310,1028164,loop
20.415,1028168,loop
20.515,1028168,loop
20.616,1028172,loop
20.717,1028176,loop
20.819,1028180,loop
20.921,1028184,loop
21.023,1028188,loop
21.124,1028188,loop
21.232,1028192,loop
21.336,1028196,loop
21.443,1028200,loop
21.543,1028200,loop
21.646,1028204,loop
21.746,1028208,loop
21.848,1028212,loop
21.949,1028216,loop
22.050,1028216,loop
22.151,1028220,loop
22.255,1028224,loop
22.362,1028224,loop
22.466,1028228,loop
22.567,1028232,loop
22.670,1028236,loop
22.774,1028240,loop
22.876,1028584,loop
22.979,1028584,loop
23.080,1028588,loop
23.182,1028592,loop
