t_s,rss_kb,phase
0.000,347792,start
0.110,356572,start
0.233,388040,setup
0.549,418956,after_setup
2.024,483796,loop
4.011,511460,loop
4.398,604980,loop
4.509,620052,loop
4.645,677076,loop
4.785,720108,loop
4.893,747852,loop
5.013,787428,loop
5.165,834156,loop
5.353,889464,loop
5.629,969344,loop
5.744,1033344,loop
5.854,1033480,loop
5.965,1033480,loop
6.075,1033480,loop
6.190,1033484,loop
6.305,1033484,loop
6.416,1033484,loop
6.526,1033484,loop
6.641,1033484,loop
6.751,1033484,loop
6.862,1033484,loop
6.977,1033484,loop
7.087,1033484,loop
7.197,1033484,loop
7.307,1033484,loop
7.423,1033484,loop
7.538,1033484,loop
7.658,1033484,loop
7.774,1033484,loop
7.884,1033484,loop
7.999,1033484,loop
8.114,1033484,loop
8.230,1033484,loop
8.345,1033484,loop
8.460,1033484,loop
8.571,1033484,loop
8.686,1033484,loop
8.796,1033484,loop
8.911,1033484,loop
9.022,1033520,loop
9.132,1033524,loop
9.247,1033524,loop
9.357,1033524,loop
9.468,1033524,loop
9.573,1033524,loop
9.688,1033524,loop
9.803,1033524,loop
9.924,1033524,loop
10.044,1033524,loop
10.154,1033524,loop
10.270,1033524,loop
10.390,1033524,loop
10.500,1033524,loop
10.615,1033524,loop
10.736,1033524,loop
10.846,1033524,loop
10.961,1033524,loop
11.077,1033524,loop
11.192,1033524,loop
11.302,1033524,loop
11.407,1033524,loop
11.512,1033524,loop
11.618,1033524,loop
11.733,1033524,loop
11.843,1033524,loop
11.963,1033524,loop
12.079,1033524,loop
12.194,1033524,loop
12.304,1033524,loop
12.419,1033524,loop
12.535,1033524,loop
12.650,1033524,loop
12.765,1033524,loop
12.876,1033524,loop
12.991,1033524,loop
13.106,1033524,loop
13.221,1033524,loop
13.342,1033524,loop
13.452,1033524,loop
13.572,1033524,loop
13.688,1033524,loop
13.803,1033524,loop
13.918,1033524,loop
14.033,1033524,loop
14.149,1033524,loop
14.259,1033524,loop
14.374,1033524,loop
14.480,1033524,loop
14.595,1033524,loop
14.710,1033524,loop
14.830,1033524,loop
14.946,1033524,loop
15.061,1033784,loop
15.171,1033788,loop
15.281,1033792,loop
15.397,1033792,loop
15.512,1033800,loop
15.622,1033800,loop
15.743,1033804,loop
15.853,1033808,loop
15.968,1033812,loop
16.083,1033816,loop
16.194,1033820,loop
16.309,1033824,loop
16.429,1033828,loop
16.540,1033832,loop
16.650,1033836,loop
16.770,1033840,loop
16.880,1033844,loop
17.006,1033844,loop
17.121,1033852,loop
17.236,1033852,loop
17.367,1033860,loop
17.482,1033860,loop
17.597,1033864,loop
17.707,1033868,loop
17.823,1033872,loop
17.933,1033876,loop
18.043,1033880,loop
18.158,1033884,loop
18.268,1033888,loop
18.384,1033892,loop
18.499,1033896,loop
18.609,1033900,loop
18.719,1033900,loop
18.830,1033908,loop
18.955,1033908,loop
19.070,1033916,loop
19.185,1033916,loop
19.296,1033920,loop
19.406,1033924,loop
19.521,1033928,loop
19.636,1033932,loop
19.752,1033936,loop
19.867,1033940,loop
19.982,1033944,loop
20.108,1033948,loop
20.218,1033952,loop
20.333,1033956,loop
20.448,1033960,loop
20.558,1033964,loop
20.674,1033964,loop
20.784,1033968,loop
20.904,1033972,loop
21.019,1033976,loop
21.135,1033980,loop
21.250,1033984,loop
21.365,1033988,loop
21.475,1033992,loop
21.591,1033996,loop
21.701,1033996,loop
21.811,1033996,loop
21.921,1033996,loop
22.037,1033996,loop
22.152,1034012,loop
22.267,1034020,loop
22.377,1034024,loop
22.498,1034024,loop
22.613,1034028,loop
22.738,1034036,loop
22.859,1034036,loop
22.969,1034040,loop
23.079,1034044,loop
23.189,1034048,loop
23.304,1034052,loop
23.415,1034056,loop
23.530,1034060,loop
23.645,1034064,loop
23.755,1034064,loop
23.860,1034068,loop
23.971,1034076,loop
24.086,1034080,loop
24.206,1034080,loop
24.321,1034084,loop
24.435,1034432,loop
24.555,1034432,loop
24.671,1034432,loop
24.781,1034432,loop
24.891,1034432,loop
25.006,1034432,loop
25.116,1034432,loop
25.232,1034432,loop
25.342,1034692,loop
25.457,1034692,loop
25.567,1034692,loop
25.683,1034692,loop
25.798,1034692,loop
25.923,1034692,loop
26.034,1034692,loop
26.159,1034692,loop
26.269,1034692,loop
26.384,1034692,loop
26.500,1034692,loop
26.615,1034692,loop
26.725,1034692,loop
26.845,1034692,loop
26.961,1034692,loop
27.066,1034692,loop
27.181,1034692,loop
27.296,1034692,loop
27.407,1034692,loop
27.527,1034692,loop
27.668,1034692,loop
27.788,1034692,loop
27.898,1034692,loop
28.008,1034692,loop
28.119,1034692,loop
28.234,1034692,loop
28.349,1034692,loop
28.459,1034692,loop
28.575,1034692,loop
28.685,1034692,loop
28.795,1034692,loop
28.905,1034692,loop
29.020,1034692,loop
29.136,1034692,loop
29.246,1034692,loop
29.356,1034692,loop
29.466,1034692,loop
29.582,1034692,loop
29.692,1034692,loop
29.802,1034692,loop
29.912,1034692,loop
30.027,1034692,loop
30.143,1034692,loop
30.253,1034692,loop
30.363,1034692,loop
30.488,1034692,loop
30.604,1034692,loop
30.714,1034692,loop
30.834,1034692,loop
30.944,1034692,loop
31.060,1034692,loop
31.170,1034692,loop
31.280,1034692,loop
31.385,1034692,loop
31.506,1034692,loop
31.616,1034692,loop
31.731,1034692,loop
31.846,1034692,loop
31.957,1034692,loop
32.067,1034692,loop
32.187,1034692,loop
32.297,1034692,loop
32.413,1034692,loop
32.528,1034692,loop
32.638,1034692,loop
32.758,1034692,loop
32.879,1034692,loop
32.989,1034692,loop
33.109,1034692,loop
33.219,1034692,loop
33.335,1034692,loop
33.450,1034692,loop
33.565,1034692,loop
33.675,1034692,loop
33.791,1034692,loop
33.911,1034692,loop
34.021,1034692,loop
34.141,1034692,loop
34.252,1034692,loop
34.367,1034752,loop
34.482,1034752,loop
34.597,1034752,loop
34.708,1034752,loop
34.823,1034752,loop
34.933,1034752,loop
35.043,1034752,loop
35.154,1034752,loop
35.269,1034752,loop
35.483,543508,after_loop
