t_s,rss_kb,phase
0.000,347844,start
0.120,357184,start
0.407,436740,start
0.661,446576,after_setup
0.770,455972,after_setup
0.870,463200,after_setup
0.970,467740,after_setup
1.070,487536,loop
1.177,590504,loop
1.346,533512,loop
1.461,537976,loop
1.582,540352,loop
1.718,542988,loop
1.838,545716,loop
1.948,548332,loop
2.053,568340,loop
2.153,581620,loop
2.253,586372,loop
2.354,601744,loop
2.454,609852,loop
2.554,609864,loop
2.654,609864,loop
2.754,610128,loop
2.854,611712,loop
2.954,615936,loop
3.054,598404,loop
3.154,599724,loop
3.254,602676,loop
3.355,644528,loop
3.455,715536,loop
3.555,789192,loop
3.655,861528,loop
3.755,1043984,loop
3.855,1198364,loop
3.955,1198404,loop
4.055,1227844,loop
