t_s,rss_kb,phase
0.000,347872,start
0.112,357576,start
0.733,513508,setup
0.833,521408,setup
1.290,546152,setup
1.569,561108,setup
2.079,584408,setup
4.743,666004,loop
11.578,1111432,loop
11.735,1172648,loop
11.861,1214360,loop
12.034,1271384,loop
12.165,1309928,loop
12.308,1343456,loop
12.498,1400216,loop
12.733,1470440,loop
13.025,1562312,loop
13.140,1657992,loop
13.402,1672520,loop
13.522,1777856,loop
13.855,1805576,loop
13.965,1906424,loop
14.427,1992264,loop
14.542,2092016,loop
14.653,2192600,loop
15.136,2206812,loop
15.246,2303172,loop
15.357,2404284,loop
16.018,2474712,loop
16.129,2575024,loop
16.249,2675968,loop
16.359,2741372,loop
17.177,2829760,loop
17.303,2939580,loop
17.423,3045176,loop
17.538,3141796,loop
17.649,3237832,loop
18.593,3244512,loop
18.708,3345624,loop
18.818,3441984,loop
18.929,3508396,loop
19.039,3512492,loop
19.154,3516696,loop
19.274,3520792,loop
19.390,3522052,loop
19.505,3525748,loop
19.610,3529180,loop
19.720,3533140,loop
19.841,3537100,loop
19.951,3541060,loop
20.066,3543964,loop
20.186,3548448,loop
20.302,3552936,loop
20.412,3555576,loop
20.522,3558480,loop
20.632,3563496,loop
20.742,3568180,loop
20.853,3570820,loop
20.963,3574516,loop
21.083,3577684,loop
21.198,3580588,loop
21.324,3587384,loop
21.434,3590020,loop
21.549,3592924,loop
21.664,3595828,loop
21.780,3603416,loop
21.900,3606320,loop
22.010,3608960,loop
22.120,3611600,loop
22.236,3614504,loop
22.356,3617408,loop
22.471,3626512,loop
22.581,3629152,loop
22.692,3631792,loop
22.812,3634960,loop
22.932,3638128,loop
23.053,3641032,loop
23.168,3643936,loop
23.288,3654360,loop
23.403,3657528,loop
23.534,3660432,loop
23.654,3663336,loop
23.769,3668548,loop
23.885,3671188,loop
23.995,3673828,loop
24.105,3676468,loop
24.215,3678844,loop
24.325,3689992,loop
24.441,3692632,loop
24.551,3695272,loop
24.661,3697912,loop
24.771,3700552,loop
24.881,3705500,loop
24.992,3708140,loop
25.102,3710780,loop
25.222,3713684,loop
25.343,3716852,loop
25.473,3719756,loop
25.598,3734464,loop
25.708,3737104,loop
25.819,3739480,loop
25.934,3742120,loop
26.054,3744760,loop
26.170,3747400,loop
26.280,3750040,loop
26.395,3754724,loop
26.505,3757100,loop
26.615,3759740,loop
26.741,3762756,loop
26.861,3765292,loop
26.976,3767824,loop
27.086,3770252,loop
27.197,3772788,loop
27.307,3791404,loop
27.811,3645332,loop
27.916,3773884,loop
28.037,3773884,loop
28.152,3773884,loop
28.267,3773884,loop
28.388,3774348,loop
28.498,3776880,loop
28.608,3779416,loop
28.728,3782108,loop
28.839,3784640,loop
28.954,3787176,loop
29.064,3789864,loop
29.179,3792400,loop
29.300,3795092,loop
29.410,3797628,loop
29.525,3800160,loop
29.635,3802696,loop
29.745,3805232,loop
29.861,3807924,loop
29.981,3810616,loop
30.096,3813308,loop
30.211,3816000,loop
30.332,3818696,loop
30.442,3821224,loop
30.552,3823596,loop
30.662,3826128,loop
30.773,3828664,loop
30.883,3831196,loop
30.993,3833728,loop
31.108,3836416,loop
31.229,3838948,loop
31.344,3841796,loop
31.464,3844488,loop
31.584,3847176,loop
31.700,3849552,loop
31.805,3852088,loop
31.915,3854620,loop
32.025,3857156,loop
32.135,3859692,loop
32.246,3869444,loop
32.356,3872056,loop
32.471,3874996,loop
32.586,3877768,loop
32.707,3882920,loop
32.827,3885696,loop
32.942,3888628,loop
33.057,3891160,loop
33.173,3894012,loop
33.293,3896700,loop
33.408,3899392,loop
33.529,3901924,loop
33.644,3904612,loop
33.754,3907148,loop
33.864,3911724,loop
33.990,3914520,loop
34.110,3917360,loop
34.225,3919892,loop
34.335,3924472,loop
34.451,3927004,loop
34.561,3941848,loop
34.681,3944540,loop
34.797,3947072,loop
34.907,3949764,loop
35.022,3952300,loop
35.132,3954916,loop
35.242,3957692,loop
35.363,3962676,loop
35.478,3965452,loop
35.588,3968228,loop
35.698,3970820,loop
35.804,3973536,loop
35.914,3976148,loop
36.024,3978924,loop
36.134,3981512,loop
36.244,3998404,loop
36.769,3884816,loop
36.875,3756292,loop
36.985,3756292,loop
37.110,3756292,loop
37.231,3756292,loop
