t_s,rss_kb,phase
0.000,347744,start
0.117,357012,start
0.728,513016,setup
0.829,521176,setup
1.292,546200,setup
1.407,552408,after_setup
1.507,556604,after_setup
1.608,561968,loop
1.708,629316,loop
1.819,799660,loop
2.080,681628,loop
2.190,684956,loop
2.310,688188,loop
2.420,689192,loop
2.536,691004,loop
2.646,692824,loop
2.761,694304,loop
2.871,696116,loop
2.992,697924,loop
3.102,699284,loop
3.212,703240,loop
3.312,868552,loop
3.413,915544,loop
3.513,909504,loop
3.613,901904,loop
3.713,931252,loop
3.813,946828,loop
3.913,960556,loop
4.014,982536,loop
4.114,1001172,loop
4.214,1013956,loop
4.314,1036288,loop
4.415,1067624,loop
4.517,1096728,loop
4.618,1122136,loop
4.719,1164456,loop
4.819,1210120,loop
4.919,1256020,loop
5.019,1298380,loop
5.120,1343180,loop
5.220,1388500,loop
5.320,1435040,loop
5.420,1483192,loop
5.520,1529720,loop
5.620,1575228,loop
5.720,1618944,loop
5.820,1663520,loop
5.921,1708204,loop
6.021,1752356,loop
6.121,1798472,loop
6.221,1845852,loop
6.321,1889604,loop
6.421,1935276,loop
6.521,1980608,loop
6.621,2094520,loop
6.721,2324504,loop
6.822,2602696,loop
6.922,2872360,loop
7.022,3025964,loop
7.122,3025964,loop
7.222,3090368,loop
7.322,3095480,loop
7.422,3159748,loop
7.522,3336232,loop
7.622,3463864,loop
7.722,3802696,loop
7.823,3931040,loop
7.923,3856412,loop
8.023,3915804,loop
8.123,3931288,loop
8.223,3931304,loop
