t_s,rss_kb,pcpu
.004581797,988,0.0
.117221377,988,0.0
.223118740,988,0.0
.328725281,988,0.0
.434363001,988,0.0
.540280632,988,0.0
.645821097,988,0.0
.751251344,988,0.0
.856611538,988,0.0
.961994276,988,0.0
1.067344359,988,0.0
1.172656349,988,0.0
1.277976761,988,0.0
1.383352145,988,0.0
1.488712188,988,0.0
1.593936422,988,0.0
1.699097886,988,0.0
1.804275078,988,0.0
1.909442496,988,0.0
2.014702456,988,0.0
2.119855563,988,0.0
2.225007248,988,0.0
2.330173281,988,0.0
2.435326733,988,0.0
2.540505042,988,0.0
2.645705649,988,0.0
2.750844360,988,0.0
2.856069894,988,0.0
2.961238498,988,0.0
3.109477501,988,0.0
3.215720752,988,0.0
3.321744446,988,0.0
3.427379408,988,0.0
3.532865944,988,0.0
3.638129018,988,0.0
3.743475957,988,0.0
3.848810056,988,0.0
3.953973504,988,0.0
4.059160297,988,0.0
4.164345427,988,0.0
4.269548843,988,0.0
4.374725087,988,0.0
4.479945374,988,0.0
4.585118470,988,0.0
4.690247366,988,0.0
4.795402723,988,0.0
4.900565661,988,0.0
5.005640911,988,0.0
5.110804713,988,0.0
5.215965789,988,0.0
5.321103840,988,0.0
5.426336114,988,0.0
5.531663237,988,0.0
5.636792920,988,0.0
5.741925051,988,0.0
5.847137820,988,0.0
5.952253299,988,0.0
6.057370355,988,0.0
6.162851565,988,0.0
6.267882895,988,0.0
6.373259754,988,0.0
