t_s,rss_kb,pcpu
.004116004,1064,0.0
.117149711,1064,0.0
.222966555,1064,0.0
.328394524,1064,0.0
.433736325,1064,0.0
.539049286,1064,0.0
.644368765,1064,0.0
.749668734,1064,0.0
.855005611,1064,0.0
.960152157,1064,0.0
1.065311823,1064,0.0
1.170616069,1064,0.0
1.275768810,1064,0.0
1.380952773,1064,0.0
1.486090563,1064,0.0
1.591388263,1064,0.0
1.696551865,1064,0.0
1.801851167,1064,0.0
1.906957128,1064,0.0
2.012059827,1064,0.0
2.117338841,1064,0.0
2.222506451,1064,0.0
2.327627367,1064,0.0
2.432829171,1064,0.0
2.538040382,1064,0.0
2.643156537,1064,0.0
2.748320297,1064,0.0
2.853510399,1064,0.0
2.987330129,1064,0.0
3.093949026,1064,0.0
3.199393537,1064,0.0
3.304690397,1064,0.0
3.409907854,1064,0.0
3.515063923,1064,0.0
3.620168857,1064,0.0
3.725312174,1064,0.0
3.830453333,1064,0.0
3.935615000,1064,0.0
4.040780580,1064,0.0
4.145926889,1064,0.0
4.251099274,1064,0.0
4.356250498,1064,0.0
4.461387099,1064,0.0
4.566478556,1064,0.0
4.671554054,1064,0.0
4.776569606,1064,0.0
4.881710525,1064,0.0
4.986871791,1064,0.0
5.092037931,1064,0.0
5.197158800,1064,0.0
5.302246264,1064,0.0
5.407404487,1064,0.0
5.512531374,1064,0.0
5.617583843,1064,0.0
5.722718407,1064,0.0
5.827831984,1064,0.0
5.932938271,1064,0.0
6.038070961,1064,0.0
6.143198467,1064,0.0
6.248326817,1064,0.0
6.353434724,1064,0.0
6.458532627,1064,0.0
6.563618778,1064,0.0
6.668699372,1064,0.0
6.773784367,1064,0.0
6.878911119,1064,0.0
6.984026316,1064,0.0
7.089130654,1064,0.0
7.194220309,1064,0.0
7.299345451,1064,0.0
7.404470600,1064,0.0
7.509546955,1064,0.0
7.614613543,1064,0.0
7.719696455,1064,0.0
7.824884002,1064,0.0
7.930041201,1064,0.0
8.035132443,1064,0.0
8.140236225,1064,0.0
8.245312939,1064,0.0
8.350357144,1064,0.0
8.455409983,1064,0.0
8.560530194,1064,0.0
8.665579991,1064,0.0
8.770684172,1064,0.0
8.875801246,1064,0.0
8.980878980,1064,0.0
9.085968463,1064,0.0
9.191053434,1064,0.0
9.296191025,1064,0.0
9.401281678,1064,0.0
9.506421143,1064,0.0
9.611651985,1064,0.0
9.716736629,1064,0.0
9.821825779,1064,0.0
9.926822236,1064,0.0
10.032202428,1064,0.0
10.137496431,1064,0.0
10.242837282,1064,0.0
10.348068356,1064,0.0
10.453389212,1064,0.0
10.558466670,1064,0.0
10.663639812,1064,0.0
10.768885894,1064,0.0
10.874141194,1064,0.0
10.979290392,1064,0.0
11.084471475,1064,0.0
11.189585461,1064,0.0
11.294744685,1064,0.0
11.399944987,1064,0.0
11.505127319,1064,0.0
11.610313109,1064,0.0
11.715494148,1064,0.0
11.820672854,1064,0.0
11.925822097,1064,0.0
12.031019642,1064,0.0
12.136160033,1064,0.0
12.241319991,1064,0.0
12.346540979,1064,0.0
12.451641664,1064,0.0
12.556851979,1064,0.0
12.661996646,1064,0.0
12.767149908,1064,0.0
12.872312578,1064,0.0
12.977451475,1064,0.0
13.082628712,1064,0.0
13.187744914,1064,0.0
13.292901152,1064,0.0
13.398011264,1064,0.0
13.503724505,1064,0.0
13.608908559,1064,0.0
13.713886588,1064,0.0
13.818829533,1064,0.0
13.923885483,1064,0.0
14.029030716,1064,0.0
14.134198144,1064,0.0
14.239333802,1064,0.0
14.344488376,1064,0.0
14.449649711,1064,0.0
14.554795279,1064,0.0
14.659901437,1064,0.0
14.765076748,1064,0.0
14.870246587,1064,0.0
14.975427805,1064,0.0
15.080640041,1064,0.0
15.185855253,1064,0.0
15.291050501,1064,0.0
15.396216191,1064,0.0
15.501396040,1064,0.0
15.606516431,1064,0.0
15.711670829,1064,0.0
15.816889491,1064,0.0
15.922063604,1064,0.0
16.027216456,1064,0.0
16.132362368,1064,0.0
