t_s,rss_kb,pcpu
.004205168,1064,0.0
.115892529,1064,0.0
.221629363,1064,0.0
.327487782,1064,0.0
.434379003,1064,0.0
.540358656,1064,0.0
.645958334,1064,0.0
.751944557,1064,0.0
.858030186,1064,0.0
.963852206,1064,0.0
1.069659040,1064,0.0
1.175175127,1064,0.0
1.280621370,1064,0.0
1.385970432,1064,0.0
1.491319182,1064,0.0
1.596500430,1064,0.0
1.702409822,1064,0.0
1.808598737,1064,0.0
1.914260631,1064,0.0
2.019742714,1064,0.0
2.125729744,1064,0.0
2.231491832,1064,0.0
2.336797279,1064,0.0
2.442081792,1064,0.0
2.547278972,1064,0.0
2.652452918,1064,0.0
2.757609294,1064,0.0
2.862887241,1064,0.0
2.968102243,1064,0.0
3.073986340,1064,0.0
3.182688578,1064,0.0
3.290503579,1064,0.0
3.395793293,1064,0.0
3.501015775,1064,0.0
3.606183038,1064,0.0
3.711334045,1064,0.0
3.816482438,1064,0.0
3.921596017,1064,0.0
4.026672980,1064,0.0
4.131709341,1064,0.0
4.236795175,1064,0.0
4.341975859,1064,0.0
4.447186181,1064,0.0
4.552413303,1064,0.0
4.657526741,1064,0.0
4.762649901,1064,0.0
4.867721819,1064,0.0
4.972869186,1064,0.0
5.077938787,1064,0.0
5.182995526,1064,0.0
5.288065679,1064,0.0
5.393133578,1064,0.0
5.498341569,1064,0.0
5.603493614,1064,0.0
5.708609518,1064,0.0
5.813704040,1064,0.0
5.918834015,1064,0.0
6.023869339,1064,0.0
6.128886909,1064,0.0
6.234034086,1064,0.0
6.339094236,1064,0.0
6.444184667,1064,0.0
6.549254388,1064,0.0
6.654384312,1064,0.0
6.759458587,1064,0.0
6.864600603,1064,0.0
6.969685396,1064,0.0
7.074781365,1064,0.0
7.179971084,1064,0.0
7.285022192,1064,0.0
7.390131900,1064,0.0
7.495077810,1064,0.0
7.600057129,1064,0.0
7.705149087,1064,0.0
7.810212059,1064,0.0
7.915320162,1064,0.0
8.020379829,1064,0.0
8.125490016,1064,0.0
8.230559989,1064,0.0
8.335655487,1064,0.0
8.440688521,1064,0.0
8.545737889,1064,0.0
8.650798799,1064,0.0
8.755907494,1064,0.0
8.860927132,1064,0.0
8.966011376,1064,0.0
9.071046882,1064,0.0
9.176116117,1064,0.0
9.281202186,1064,0.0
9.386281092,1064,0.0
9.491346756,1064,0.0
9.596454689,1064,0.0
9.701529689,1064,0.0
9.806615294,1064,0.0
9.911742441,1064,0.0
10.016811902,1064,0.0
10.122067048,1064,0.0
10.227344388,1064,0.0
10.332586209,1064,0.0
10.437722055,1064,0.0
10.542827294,1064,0.0
10.647969966,1064,0.0
10.753112377,1064,0.0
10.859296868,1064,0.0
10.964633217,1064,0.0
11.070166647,1064,0.0
11.175343652,1064,0.0
11.280513903,1064,0.0
11.385689586,1064,0.0
11.490984343,1064,0.0
11.596078362,1064,0.0
11.701204485,1064,0.0
11.806351315,1064,0.0
11.911448120,1064,0.0
12.016584259,1064,0.0
12.121705502,1064,0.0
12.226864575,1064,0.0
12.332071903,1064,0.0
12.437207168,1064,0.0
12.542349483,1064,0.0
12.647425217,1064,0.0
12.752517000,1064,0.0
12.857599890,1064,0.0
12.962818142,1064,0.0
13.067964123,1064,0.0
13.173046038,1064,0.0
13.278209194,1064,0.0
13.383280977,1064,0.0
13.488523909,1064,0.0
13.593602587,1064,0.0
13.698665125,1064,0.0
13.803786598,1064,0.0
13.908931568,1064,0.0
14.014008910,1064,0.0
14.119075408,1064,0.0
14.224171960,1064,0.0
14.329311757,1064,0.0
14.434388045,1064,0.0
14.539484834,1064,0.0
14.644535640,1064,0.0
14.749636369,1064,0.0
14.854748636,1064,0.0
14.960709469,1064,0.0
15.065896094,1064,0.0
15.171017119,1064,0.0
15.276016218,1064,0.0
15.381062158,1064,0.0
15.486113211,1064,0.0
15.591198456,1064,0.0
15.696286324,1064,0.0
15.801398523,1064,0.0
15.906550136,1064,0.0
16.011657178,1064,0.0
16.116720739,1064,0.0
16.222112635,1064,0.0
16.327532928,1064,0.0
16.432813688,1064,0.0
16.538053616,1064,0.0
16.643257860,1064,0.0
16.748426225,1064,0.0
16.853601522,1064,0.0
16.959850389,1064,0.0
17.065200875,1064,0.0
17.170424919,1064,0.0
17.275645092,1064,0.0
17.380825930,1064,0.0
17.486006455,1064,0.0
17.591189679,1064,0.0
17.696370212,1064,0.0
17.801535932,1064,0.0
17.906723902,1064,0.0
18.011870146,1064,0.0
18.117014061,1064,0.0
18.222150259,1064,0.0
18.327349640,1064,0.0
18.432474342,1064,0.0
18.537598844,1064,0.0
18.642765157,1064,0.0
18.747808036,1064,0.0
18.852892856,1064,0.0
18.958058180,1064,0.0
19.063361721,1064,0.0
19.168617190,1064,0.0
19.273839243,1064,0.0
19.378937825,1064,0.0
19.484062231,1064,0.0
19.589302319,1064,0.0
19.694448815,1064,0.0
19.799585458,1064,0.0
19.904625047,1064,0.0
20.009943944,1064,0.0
20.115437907,1064,0.0
20.220758472,1064,0.0
20.326018546,1064,0.0
20.431246954,1064,0.0
20.536415510,1064,0.0
20.641559257,1064,0.0
20.746718069,1064,0.0
20.852049781,1064,0.0
20.957169700,1064,0.0
21.062276446,1064,0.0
21.167477061,1064,0.0
21.272583453,1064,0.0
21.377786889,1064,0.0
21.482946348,1064,0.0
21.588084460,1064,0.0
21.694078694,1064,0.0
21.799388314,1064,0.0
21.904546985,1064,0.0
22.009674284,1064,0.0
