t_s,rss_kb,pcpu
.004360015,1068,0.0
.120328129,1068,0.0
.226004387,1068,0.0
.332364238,1068,0.0
.438235339,1068,0.0
.543691856,1068,0.0
.648883748,1068,0.0
.754103056,1068,0.0
.859459707,1068,0.0
.964628817,1068,0.0
1.069940501,1068,0.0
1.175236224,1068,0.0
1.280554480,1068,0.0
1.385853851,1068,0.0
1.491242645,1068,0.0
1.597595426,1068,0.0
1.703488752,1068,0.0
1.808943530,1068,0.0
1.914164690,1068,0.0
2.019507746,1068,0.0
2.124883619,1068,0.0
2.230197648,1068,0.0
2.335513563,1068,0.0
2.440813983,1068,0.0
2.546007137,1068,0.0
2.651175674,1068,0.0
2.756489326,1068,0.0
2.861799159,1068,0.0
2.966927854,1068,0.0
3.072088542,1068,0.0
3.177417238,1068,0.0
3.282590126,1068,0.0
3.411394871,1068,0.0
3.517901143,1068,0.0
3.623340450,1068,0.0
3.728755091,1068,0.0
3.833999168,1068,0.0
3.939235313,1068,0.0
4.044537085,1068,0.0
4.150002666,1068,0.0
4.255275955,1068,0.0
4.360693893,1068,0.0
4.465938680,1068,0.0
4.572008902,1068,0.0
4.677886692,1068,0.0
4.783215124,1068,0.0
4.888417990,1068,0.0
4.993591210,1068,0.0
5.098730358,1068,0.0
5.203917953,1068,0.0
5.309086055,1068,0.0
5.414237987,1068,0.0
5.519410909,1068,0.0
5.624567852,1068,0.0
5.729717530,1068,0.0
5.834920148,1068,0.0
5.940068002,1068,0.0
6.045258806,1068,0.0
6.150450084,1068,0.0
6.255565978,1068,0.0
6.360715004,1068,0.0
6.465816255,1068,0.0
6.571013580,1068,0.0
6.676177623,1068,0.0
6.781305374,1068,0.0
6.886644146,1068,0.0
6.991917497,1068,0.0
7.098110521,1068,0.0
7.203468367,1068,0.0
7.308745556,1068,0.0
7.413909392,1068,0.0
7.519114268,1068,0.0
7.624426794,1068,0.0
7.729608594,1068,0.0
7.834737531,1068,0.0
7.939913117,1068,0.0
8.045018333,1068,0.0
8.150079600,1068,0.0
8.255190877,1068,0.0
8.360283104,1068,0.0
8.465467318,1068,0.0
8.570738093,1068,0.0
8.675825109,1068,0.0
8.780842708,1068,0.0
8.885893680,1068,0.0
8.990990424,1068,0.0
9.096097522,1068,0.0
9.201223520,1068,0.0
9.306310618,1068,0.0
9.411377946,1068,0.0
9.516443787,1068,0.0
9.621533388,1068,0.0
9.726650762,1068,0.0
9.831797316,1068,0.0
9.936886655,1068,0.0
10.042039612,1068,0.0
10.147176908,1068,0.0
10.252325806,1068,0.0
10.357429312,1068,0.0
10.462541819,1068,0.0
10.567646365,1068,0.0
10.672730981,1068,0.0
10.777852130,1068,0.0
10.883072319,1068,0.0
10.988172747,1068,0.0
11.093238913,1068,0.0
11.198439272,1068,0.0
11.303498341,1068,0.0
11.408793027,1068,0.0
11.514043341,1068,0.0
11.619275153,1068,0.0
11.724460388,1068,0.0
11.829586975,1068,0.0
11.934694056,1068,0.0
12.040035956,1068,0.0
12.145181692,1068,0.0
12.250311193,1068,0.0
12.355559666,1068,0.0
12.460884647,1068,0.0
12.566014422,1068,0.0
12.671186000,1068,0.0
12.776401347,1068,0.0
12.881510481,1068,0.0
12.986633093,1068,0.0
13.091756598,1068,0.0
13.196862177,1068,0.0
13.301960650,1068,0.0
13.407058108,1068,0.0
13.512174070,1068,0.0
13.617258860,1068,0.0
13.722443440,1068,0.0
13.827529872,1068,0.0
13.932547720,1068,0.0
14.037611238,1068,0.0
14.142718473,1068,0.0
14.247773447,1068,0.0
14.352878576,1068,0.0
14.457957085,1068,0.0
14.563206566,1068,0.0
14.668311644,1068,0.0
14.773424821,1068,0.0
14.878523288,1068,0.0
14.983647769,1068,0.0
15.088743567,1068,0.0
15.193806178,1068,0.0
15.298960267,1068,0.0
15.404044919,1068,0.0
15.509202630,1068,0.0
15.614336962,1068,0.0
15.719391539,1068,0.0
15.824456780,1068,0.0
15.929553587,1068,0.0
16.034658273,1068,0.0
16.139780800,1068,0.0
16.244909511,1068,0.0
16.350017645,1068,0.0
16.455572481,1068,0.0
16.560981121,1068,0.0
16.666126171,1068,0.0
16.771227187,1068,0.0
16.876427234,1068,0.0
16.981645268,1068,0.0
17.086827368,1068,0.0
17.191969559,1068,0.0
17.297161418,1068,0.0
17.402353700,1068,0.0
17.507511628,1068,0.0
17.612637965,1068,0.0
17.717773842,1068,0.0
17.822928954,1068,0.0
17.928072901,1068,0.0
18.033264608,1068,0.0
18.138458300,1068,0.0
18.243595857,1068,0.0
18.348751548,1068,0.0
18.453910684,1068,0.0
18.559350806,1068,0.0
18.665895976,1068,0.0
18.771185411,1068,0.0
18.876489305,1068,0.0
18.981838386,1068,0.0
19.087039853,1068,0.0
19.192233308,1068,0.0
19.297450720,1068,0.0
19.403346801,1068,0.0
19.508616743,1068,0.0
19.613949936,1068,0.0
19.719154109,1068,0.0
19.824324576,1068,0.0
19.929474474,1068,0.0
20.034711012,1068,0.0
20.139913969,1068,0.0
20.245042378,1068,0.0
20.350242898,1068,0.0
20.455444588,1068,0.0
20.560589435,1068,0.0
20.665744624,1068,0.0
20.770886821,1068,0.0
20.876132444,1068,0.0
20.981278660,1068,0.0
21.086501130,1068,0.0
21.191621538,1068,0.0
21.296747029,1068,0.0
21.401870147,1068,0.0
21.506942813,1068,0.0
21.612369238,1068,0.0
