t_s,rss_kb,pcpu
.004897037,1148,0.0
.115817491,1148,0.0
.221633522,1148,0.0
.327430790,1148,0.0
.433054637,1148,0.0
.538472936,1148,0.0
.643752201,1148,0.0
.749137243,1148,0.0
.854589795,1148,0.0
.960826152,1148,0.0
1.066988880,1148,0.0
1.172978532,1148,0.0
1.278631571,1148,0.0
1.384148516,1148,0.0
1.489529096,1148,0.0
1.594922701,1148,0.0
1.700956138,1148,0.0
1.806578138,1148,0.0
1.911884999,1148,0.0
2.017288249,1148,0.0
2.122640588,1148,0.0
2.228030041,1148,0.0
2.333199615,1148,0.0
2.438386860,1148,0.0
2.543561261,1148,0.0
2.648784977,1148,0.0
2.754004982,1148,0.0
2.859216882,1148,0.0
2.964316299,1148,0.0
3.069552410,1148,0.0
3.174768381,1148,0.0
3.321381420,1148,0.0
3.430987163,1148,0.0
3.536524937,1148,0.0
3.642036186,1148,0.0
3.747315830,1148,0.0
3.852645339,1148,0.0
3.958546721,1148,0.0
4.063850096,1148,0.0
4.169211343,1148,0.0
4.274420855,1148,0.0
4.379599369,1148,0.0
4.484750054,1148,0.0
4.589917456,1148,0.0
4.695158340,1148,0.0
4.800288850,1148,0.0
4.905481164,1148,0.0
5.010497993,1148,0.0
5.115544113,1148,0.0
5.220707048,1148,0.0
5.325808518,1148,0.0
5.430890335,1148,0.0
5.536074841,1148,0.0
5.641189455,1148,0.0
5.746287629,1148,0.0
5.851592589,1148,0.0
5.956855782,1148,0.0
6.062144877,1148,0.0
6.167347879,1148,0.0
6.272544785,1148,0.0
6.377781253,1148,0.0
6.482970089,1148,0.0
6.588244870,1148,0.0
6.693439099,1148,0.0
6.798750853,1148,0.0
6.903961570,1148,0.0
7.009222007,1148,0.0
7.114455256,1148,0.0
7.219632774,1148,0.0
7.324881213,1148,0.0
7.430066665,1148,0.0
7.535213594,1148,0.0
7.640404223,1148,0.0
7.745553672,1148,0.0
7.850732577,1148,0.0
7.955840448,1148,0.0
8.060974879,1148,0.0
8.166120212,1148,0.0
8.271316045,1148,0.0
8.376423289,1148,0.0
8.481635979,1148,0.0
8.586771040,1148,0.0
8.691931199,1148,0.0
8.797070222,1148,0.0
8.902316086,1148,0.0
9.007602771,1148,0.0
9.112691052,1148,0.0
9.217850844,1148,0.0
9.322972779,1148,0.0
9.428055095,1148,0.0
9.533306469,1148,0.0
9.638551857,1148,0.0
9.743862691,1148,0.0
9.851022719,1148,0.0
9.956576494,1148,0.0
10.061922180,1148,0.0
10.167134084,1148,0.0
10.272346590,1148,0.0
10.377593390,1148,0.0
10.482753557,1148,0.0
10.587851779,1148,0.0
10.693061027,1148,0.0
10.798242884,1148,0.0
10.903413693,1148,0.0
11.008504736,1148,0.0
11.113620676,1148,0.0
11.218784132,1148,0.0
11.323922005,1148,0.0
11.429118067,1148,0.0
11.535148363,1148,0.0
11.640451363,1148,0.0
11.745700676,1148,0.0
11.850875444,1148,0.0
11.956103797,1148,0.0
12.061247036,1148,0.0
12.166435296,1148,0.0
12.271691832,1148,0.0
12.376847503,1148,0.0
12.481972812,1148,0.0
12.587249050,1148,0.0
12.692386313,1148,0.0
12.797509596,1148,0.0
12.902652990,1148,0.0
13.007778928,1148,0.0
13.112903808,1148,0.0
13.218025121,1148,0.0
13.323156504,1148,0.0
13.428240185,1148,0.0
13.533372649,1148,0.0
13.638474720,1148,0.0
13.743561397,1148,0.0
13.848600400,1148,0.0
13.953741910,1148,0.0
14.058840834,1148,0.0
14.163907316,1148,0.0
14.268973487,1148,0.0
