label,status,machine,test,impl,mode,threads,chain_len,input,n_events,n_tracks,wall_setup,wall_loop,bytes_setup,bytes_loop,bytes_total,peak_rss_kb,time_maxrss_kb,cpu_percent,elapsed_s,events_per_s,tracks_per_s,event_loops,root_version,checksums
r1_filter_rdf_t1,ok,ares,filter,rdf,vector,1,,ds_m.root,2774600,,6.119188827462494,1.995232893154025,18816753,16001965,34820407,601732,602032,120,9.28,1390614.604199897,,,6.32.10,"{""events_passed"": 479568}"
r1_chain_rdf-lazy_l5_t1,ok,ares,chain,rdf-lazy,vector,1,5,ds_m.root,2774600,,4.466527933254838,5.670953140594065,21531245,50499315,72032249,611876,611948,131,11.28,489265.1960282896,,1,6.32.10,"{""events_passed"": 433248, ""intermediate"": null}"
r1_eff_jit_t1,ok,ares,efficiency,jit,vector,1,,ds_m.root,2774600,4113048,6.362818078137934,6.145271354354918,24215776,86541263,110758728,641116,641760,124,13.71,451501.62458387576,669302.909965927,,6.32.10,"{""eff_sum"": 500098.4848341942, ""eff_hits"": 518896}"
r1_filter_rdf_t2,ok,ares,filter,rdf,vector,2,,ds_m.root,2774600,,3.7652678675949574,1.475051929242909,18816753,18793085,37611527,668476,668772,178,6.37,1881018.5221235582,,,6.32.10,"{""events_passed"": 479568}"
r1_chain_rdf-lazy_l5_t2,ok,ares,chain,rdf-lazy,vector,2,5,ds_m.root,2774600,,4.323901882395148,3.154079378582537,21531245,53290435,74823369,681164,681240,178,8.54,879686.1673300443,,1,6.32.10,"{""events_passed"": 433248, ""intermediate"": null}"
r1_eff_jit_t2,ok,ares,efficiency,jit,vector,2,,ds_m.root,2774600,4113048,5.739102802239358,3.3274283315986395,24215776,89332383,113549848,714036,714628,168,10.17,833857.178425527,1236104.1591612329,,6.32.10,"{""eff_sum"": 500098.4848341942, ""eff_hits"": 518896}"
r1_filter_rdf_t4,ok,ares,filter,rdf,vector,4,,ds_m.root,2774600,,3.6610944364219904,1.2248022574931383,18816753,24375325,43193767,804016,804312,201,5.92,2265345.2694305996,,,6.32.10,"{""events_passed"": 479568}"
r1_chain_rdf-lazy_l5_t4,ok,ares,chain,rdf-lazy,vector,4,5,ds_m.root,2774600,,4.209099546074867,2.120531717315316,21531245,58872675,80405609,814420,814492,215,7.42,1308445.413640293,,1,6.32.10,"{""events_passed"": 433248, ""intermediate"": null}"
r1_eff_jit_t4,ok,ares,efficiency,jit,vector,4,,ds_m.root,2774600,4113048,6.1284609623253345,2.183694005012512,24215776,94914623,119132088,847660,847992,194,9.44,1270599.266028622,1883527.6327904894,,6.32.10,"{""eff_sum"": 500098.4848341942, ""eff_hits"": 518896}"
r1_filter_rdf_t8,ok,ares,filter,rdf,vector,8,,ds_m.root,2774600,,3.6839852342382073,1.129660832695663,18816753,35539805,54358247,1077200,1077528,224,5.9,2456135.434366691,,,6.32.10,"{""events_passed"": 479568}"
