t_s,rss_kb,pcpu
.004609296,964,0.0
.114305135,964,0.0
.220061882,964,0.0
.325741063,964,0.0
.431249675,964,0.0
.536447376,964,0.0
.641679726,964,0.0
.746833177,964,0.0
.851992108,964,0.0
.957138993,964,0.0
1.115400879,964,0.0
1.221021964,964,0.0
1.326414364,964,0.0
1.431693783,964,0.0
1.536929785,964,0.0
1.642110658,964,0.0
1.747290251,964,0.0
1.852494630,964,0.0
1.957697643,964,0.0
2.062877806,964,0.0
2.168023252,964,0.0
2.273364253,964,0.0
2.378526657,964,0.0
2.483678795,964,0.0
2.588849745,964,0.0
2.693965614,964,0.0
2.799124529,964,0.0
2.904246254,964,0.0
3.009375132,964,0.0
3.114490855,964,0.0
3.219625506,964,0.0
3.324717546,964,0.0
3.429822604,964,0.0
3.534911071,964,0.0
3.640009214,964,0.0
3.745171830,964,0.0
3.850320144,964,0.0
3.955445273,964,0.0
4.060617770,964,0.0
4.165749844,964,0.0
4.270834416,964,0.0
4.375940993,964,0.0
4.481050406,964,0.0
4.586183593,964,0.0
4.691248652,964,0.0
4.796366995,964,0.0
4.901451398,964,0.0
5.006516974,964,0.0
5.111599773,964,0.0
5.216672897,964,0.0
5.321838814,964,0.0
5.426932334,964,0.0
5.531981678,964,0.0
5.637109509,964,0.0
5.742237361,964,0.0
5.847345034,964,0.0
5.952454579,964,0.0
6.057555453,964,0.0
6.162638654,964,0.0
6.267722771,964,0.0
6.372798203,964,0.0
6.477875599,964,0.0
6.582936078,964,0.0
6.688065005,964,0.0
6.793143073,964,0.0
6.898207446,964,0.0
7.003302071,964,0.0
7.108356242,964,0.0
7.213388441,964,0.0
7.318429597,964,0.0
7.423489070,964,0.0
7.528572717,964,0.0
7.633635742,964,0.0
7.738704493,964,0.0
7.843776925,964,0.0
7.948838242,964,0.0
8.053948663,964,0.0
8.159015402,964,0.0
8.264054189,964,0.0
8.369087551,964,0.0
8.474111185,964,0.0
8.579154466,964,0.0
8.684338696,964,0.0
8.789439392,964,0.0
8.894521956,964,0.0
8.999639313,964,0.0
9.104725801,964,0.0
9.209797363,964,0.0
9.314851702,964,0.0
9.419921717,964,0.0
9.524995178,964,0.0
9.630095137,964,0.0
9.735131471,964,0.0
9.840192731,964,0.0
9.945252930,964,0.0
10.050349518,964,0.0
10.155413321,964,0.0
10.260453805,964,0.0
10.365551672,964,0.0
10.470611433,964,0.0
10.575641140,964,0.0
10.680711303,964,0.0
10.785761958,964,0.0
10.890805086,964,0.0
10.995865721,964,0.0
11.100916200,964,0.0
11.205966614,964,0.0
11.311096644,964,0.0
11.416186426,964,0.0
11.521241165,964,0.0
11.626297361,964,0.0
11.731351697,964,0.0
11.836362678,964,0.0
11.941625704,964,0.0
12.046912082,964,0.0
