t_s,rss_kb,pcpu
.004260478,968,0.0
.114171997,968,0.0
.219698805,968,0.0
.325234886,968,0.0
.430732382,968,0.0
.537370758,968,0.0
.643151893,968,0.0
.748635229,968,0.0
.853881773,968,0.0
.959044859,968,0.0
1.064235815,968,0.0
1.169391322,968,0.0
1.274591015,968,0.0
1.379749314,968,0.0
1.484890748,968,0.0
1.590080739,968,0.0
1.695316696,968,0.0
1.800427603,968,0.0
1.905559539,968,0.0
2.010654399,968,0.0
2.115796655,968,0.0
2.220959321,968,0.0
2.326112937,968,0.0
2.431227145,968,0.0
2.536357266,968,0.0
2.652682116,968,0.0
2.757895837,968,0.0
2.863155807,968,0.0
2.968280034,968,0.0
3.073540601,968,0.0
3.178692579,968,0.0
3.283819860,968,0.0
3.388976596,968,0.0
3.494134887,968,0.0
3.599285942,968,0.0
3.704426554,968,0.0
3.809657251,968,0.0
3.914819391,968,0.0
4.019951504,968,0.0
4.125087219,968,0.0
4.230399489,968,0.0
4.335739593,968,0.0
4.440876311,968,0.0
4.546058641,968,0.0
4.651225306,968,0.0
4.756357101,968,0.0
4.861552415,968,0.0
4.966663194,968,0.0
5.071768543,968,0.0
5.176911436,968,0.0
5.282079023,968,0.0
5.387221064,968,0.0
5.492409744,968,0.0
5.597630315,968,0.0
5.702813288,968,0.0
5.807965176,968,0.0
5.913136204,968,0.0
6.018238785,968,0.0
6.123371687,968,0.0
6.228522788,968,0.0
6.333830489,968,0.0
6.438999826,968,0.0
6.544157386,968,0.0
6.649278940,968,0.0
6.754350500,968,0.0
6.859508123,968,0.0
6.964713547,968,0.0
7.069789439,968,0.0
7.174916237,968,0.0
7.280082434,968,0.0
7.385200366,968,0.0
7.490344325,968,0.0
7.595728126,968,0.0
7.700912183,968,0.0
7.806016450,968,0.0
7.911157501,968,0.0
8.016263829,968,0.0
8.121360701,968,0.0
8.226583563,968,0.0
8.331733217,968,0.0
8.436902050,968,0.0
8.542011545,968,0.0
8.647156315,968,0.0
8.752267602,968,0.0
8.857407319,968,0.0
8.962630510,968,0.0
9.067825380,968,0.0
9.172990508,968,0.0
9.278153910,968,0.0
9.383266310,968,0.0
9.488363475,968,0.0
9.593520539,968,0.0
9.698690737,968,0.0
9.803803679,968,0.0
9.908949714,968,0.0
10.014087938,968,0.0
10.119215180,968,0.0
10.224403395,968,0.0
10.329587724,968,0.0
10.434693710,968,0.0
10.539775135,968,0.0
10.644916499,968,0.0
10.750054507,968,0.0
10.855192093,968,0.0
10.960284589,968,0.0
11.065415422,968,0.0
11.170571332,968,0.0
11.275700682,968,0.0
11.380861459,968,0.0
11.486047555,968,0.0
11.591258636,968,0.0
11.696399367,968,0.0
11.801543901,968,0.0
11.906673210,968,0.0
12.011816429,968,0.0
