t_s,rss_kb,pcpu
.004739337,1080,0.0
.115566054,1080,0.0
.221383530,1080,0.0
.327035812,1080,0.0
.432504160,1080,0.0
.537841300,1080,0.0
.643119281,1080,0.0
.748415762,1080,0.0
.853661652,1080,0.0
.958986158,1080,0.0
1.106289861,1080,0.0
1.211688198,1080,0.0
1.316948035,1080,0.0
1.422183614,1080,0.0
1.527450263,1080,0.0
1.632663255,1080,0.0
1.737845378,1080,0.0
1.843064806,1080,0.0
1.948491652,1080,0.0
2.054440262,1080,0.0
2.159778072,1080,0.0
2.265060714,1080,0.0
2.370297697,1080,0.0
2.475509005,1080,0.0
2.580726603,1080,0.0
2.685948701,1080,0.0
2.791178689,1080,0.0
2.896331526,1080,0.0
3.001471563,1080,0.0
3.106670749,1080,0.0
3.212316578,1080,0.0
3.317504156,1080,0.0
3.422634192,1080,0.0
3.527759842,1080,0.0
3.632924562,1080,0.0
3.738022903,1080,0.0
3.843149686,1080,0.0
3.948279731,1080,0.0
4.053388325,1080,0.0
4.158491154,1080,0.0
4.263658882,1080,0.0
4.368824684,1080,0.0
4.473965133,1080,0.0
4.579036017,1080,0.0
4.684159296,1080,0.0
4.789268430,1080,0.0
4.894400622,1080,0.0
4.999602966,1080,0.0
5.104943045,1080,0.0
5.210032985,1080,0.0
5.315139461,1080,0.0
5.420280586,1080,0.0
5.525355954,1080,0.0
5.630465019,1080,0.0
5.735568988,1080,0.0
5.840674960,1080,0.0
5.945790301,1080,0.0
6.050864973,1080,0.0
6.155937748,1080,0.0
6.261014945,1080,0.0
6.366110972,1080,0.0
6.471215528,1080,0.0
6.576319278,1080,0.0
6.681403009,1080,0.0
6.786482677,1080,0.0
6.891744929,1080,0.0
6.996808249,1080,0.0
7.102647114,1080,0.0
7.207760809,1080,0.0
7.312828759,1080,0.0
7.417952400,1080,0.0
7.523029257,1080,0.0
7.628129153,1080,0.0
7.733258842,1080,0.0
7.838383393,1080,0.0
7.943494413,1080,0.0
8.048571034,1080,0.0
8.153707730,1080,0.0
8.258815032,1080,0.0
8.363922285,1080,0.0
8.469017380,1080,0.0
8.574114477,1080,0.0
8.679203764,1080,0.0
8.784308585,1080,0.0
8.889383209,1080,0.0
8.994459841,1080,0.0
9.099548386,1080,0.0
9.204679719,1080,0.0
9.309760585,1080,0.0
9.414885894,1080,0.0
9.519973814,1080,0.0
9.625075938,1080,0.0
9.730178761,1080,0.0
9.835279055,1080,0.0
9.940357887,1080,0.0
10.045447283,1080,0.0
10.150506577,1080,0.0
10.255601056,1080,0.0
10.360659266,1080,0.0
10.465676361,1080,0.0
10.570774586,1080,0.0
10.675891004,1080,0.0
10.780943694,1080,0.0
10.886023536,1080,0.0
10.991078732,1080,0.0
11.096209013,1080,0.0
11.201285304,1080,0.0
11.306374882,1080,0.0
11.411469457,1080,0.0
11.516526392,1080,0.0
11.621652275,1080,0.0
11.726700905,1080,0.0
11.831815912,1080,0.0
11.936903131,1080,0.0
12.041976062,1080,0.0
12.147057752,1080,0.0
12.252160380,1080,0.0
12.357274616,1080,0.0
12.462355369,1080,0.0
12.567451480,1080,0.0
12.672530260,1080,0.0
12.777787401,1080,0.0
12.882975478,1080,0.0
12.988098218,1080,0.0
13.093220990,1080,0.0
13.198354980,1080,0.0
13.303483874,1080,0.0
13.408595710,1080,0.0
13.513727636,1080,0.0
13.618838093,1080,0.0
13.723940992,1080,0.0
13.829020669,1080,0.0
13.934139434,1080,0.0
14.039201763,1080,0.0
14.144301909,1080,0.0
14.249421891,1080,0.0
14.354532993,1080,0.0
14.459614663,1080,0.0
14.564746780,1080,0.0
14.669838254,1080,0.0
14.774898995,1080,0.0
14.880006578,1080,0.0
14.985143355,1080,0.0
15.090247220,1080,0.0
15.195386885,1080,0.0
15.300513079,1080,0.0
15.405632188,1080,0.0
15.511153414,1080,0.0
15.616452865,1080,0.0
15.721737481,1080,0.0
15.826953255,1080,0.0
15.932097107,1080,0.0
16.037293469,1080,0.0
16.142440031,1080,0.0
16.247676803,1080,0.0
16.352851959,1080,0.0
16.457995606,1080,0.0
16.563159516,1080,0.0
16.668318244,1080,0.0
16.773490717,1080,0.0
16.878690194,1080,0.0
16.983823234,1080,0.0
17.088992939,1080,0.0
17.194140984,1080,0.0
17.299294702,1080,0.0
17.404424338,1080,0.0
17.509568176,1080,0.0
17.614816281,1080,0.0
17.719958444,1080,0.0
