t_s,rss_kb,pcpu
.004416046,976,0.0
.116110042,976,0.0
.221895617,976,0.0
.327513960,976,0.0
.432885323,976,0.0
.538405495,976,0.0
.643658574,976,0.0
.748829446,976,0.0
.854090049,976,0.0
.959290431,976,0.0
1.100350079,976,0.0
1.206056296,976,0.0
1.311467649,976,0.0
1.416767419,976,0.0
1.522045574,976,0.0
1.627292479,976,0.0
1.732521293,976,0.0
1.837771812,976,0.0
1.942912170,976,0.0
2.048106682,976,0.0
2.153318696,976,0.0
2.258446497,976,0.0
2.363619891,976,0.0
2.468799072,976,0.0
2.573910721,976,0.0
2.679076060,976,0.0
2.784266475,976,0.0
2.889441369,976,0.0
2.994568207,976,0.0
3.099753015,976,0.0
3.204879516,976,0.0
3.310128411,976,0.0
3.415334855,976,0.0
3.520499464,976,0.0
3.625655453,976,0.0
3.730859913,976,0.0
3.835999695,976,0.0
3.941142287,976,0.0
4.046271805,976,0.0
4.151407268,976,0.0
4.256553581,976,0.0
4.361700333,976,0.0
4.466825148,976,0.0
4.571959653,976,0.0
4.677099895,976,0.0
4.782223798,976,0.0
4.887381038,976,0.0
4.992513901,976,0.0
5.097599208,976,0.0
5.202713942,976,0.0
5.307806595,976,0.0
5.412925539,976,0.0
5.518028912,976,0.0
5.623210766,976,0.0
5.728354457,976,0.0
5.833478102,976,0.0
5.938602543,976,0.0
6.043748131,976,0.0
6.148853146,976,0.0
6.255057042,976,0.0
6.361015052,976,0.0
6.466537355,976,0.0
6.571928433,976,0.0
6.677200589,976,0.0
6.782450809,976,0.0
6.887682834,976,0.0
6.992907113,976,0.0
7.098135676,976,0.0
7.203334063,976,0.0
7.308565685,976,0.0
7.413775076,976,0.0
7.519034158,976,0.0
7.624199397,976,0.0
7.729372946,976,0.0
7.834562489,976,0.0
7.939747303,976,0.0
8.044934249,976,0.0
