t_s,rss_kb,pcpu
.004229722,1068,0.0
.114727442,1068,0.0
.220370110,1068,0.0
.325916523,1068,0.0
.431340643,1068,0.0
.536540682,1068,0.0
.641786120,1068,0.0
.746945320,1068,0.0
.852181871,1068,0.0
.957404726,1068,0.0
1.069852531,1068,0.0
1.175272773,1068,0.0
1.280578644,1068,0.0
1.385880754,1068,0.0
1.491076958,1068,0.0
1.596322638,1068,0.0
1.701500723,1068,0.0
1.806713117,1068,0.0
1.911949175,1068,0.0
2.017154580,1068,0.0
2.122344856,1068,0.0
2.227519529,1068,0.0
2.332664442,1068,0.0
2.437897880,1068,0.0
2.543059295,1068,0.0
2.648186896,1068,0.0
2.753371243,1068,0.0
2.858521450,1068,0.0
2.963699396,1068,0.0
3.068910857,1068,0.0
3.174097607,1068,0.0
3.279261853,1068,0.0
3.384457786,1068,0.0
3.489679597,1068,0.0
3.594878681,1068,0.0
3.700108092,1068,0.0
3.805259622,1068,0.0
3.910466982,1068,0.0
4.015625041,1068,0.0
4.120794903,1068,0.0
4.225914462,1068,0.0
4.331026594,1068,0.0
4.436156827,1068,0.0
4.541285165,1068,0.0
4.646440847,1068,0.0
4.751566795,1068,0.0
4.856725560,1068,0.0
4.961880280,1068,0.0
5.067064022,1068,0.0
5.172209707,1068,0.0
5.277408275,1068,0.0
5.382543694,1068,0.0
5.487727603,1068,0.0
5.592897873,1068,0.0
5.698105218,1068,0.0
5.803233832,1068,0.0
5.908364282,1068,0.0
6.013477443,1068,0.0
6.118821007,1068,0.0
6.223955317,1068,0.0
6.329113385,1068,0.0
6.434222873,1068,0.0
6.539338407,1068,0.0
6.644511418,1068,0.0
6.749671080,1068,0.0
6.854878204,1068,0.0
6.959991247,1068,0.0
7.065107388,1068,0.0
7.170226681,1068,0.0
7.275353133,1068,0.0
7.380482540,1068,0.0
7.485613496,1068,0.0
7.591020969,1068,0.0
7.696169929,1068,0.0
7.801255330,1068,0.0
7.906354051,1068,0.0
8.011467932,1068,0.0
8.116634437,1068,0.0
8.221757021,1068,0.0
8.326908593,1068,0.0
8.432014974,1068,0.0
8.537137118,1068,0.0
8.642232424,1068,0.0
8.747431662,1068,0.0
8.852508656,1068,0.0
8.957637292,1068,0.0
9.062764134,1068,0.0
9.167893032,1068,0.0
9.273016807,1068,0.0
9.378173600,1068,0.0
9.483327608,1068,0.0
9.588482152,1068,0.0
9.693617555,1068,0.0
9.798778519,1068,0.0
9.903930484,1068,0.0
10.009027622,1068,0.0
10.114153637,1068,0.0
10.219286576,1068,0.0
10.324472261,1068,0.0
10.429644527,1068,0.0
10.534878534,1068,0.0
10.640072751,1068,0.0
10.745181934,1068,0.0
10.850348551,1068,0.0
10.955499289,1068,0.0
11.060632405,1068,0.0
11.165810976,1068,0.0
11.270996291,1068,0.0
11.376116279,1068,0.0
11.481500955,1068,0.0
11.587412660,1068,0.0
11.693116662,1068,0.0
11.798542295,1068,0.0
11.903741080,1068,0.0
12.008919376,1068,0.0
12.114160747,1068,0.0
12.219354900,1068,0.0
12.324507825,1068,0.0
12.429779891,1068,0.0
12.534974872,1068,0.0
12.640121018,1068,0.0
12.745270141,1068,0.0
12.850381137,1068,0.0
12.955536981,1068,0.0
13.060643164,1068,0.0
13.165763398,1068,0.0
13.270872697,1068,0.0
13.376027161,1068,0.0
13.481133529,1068,0.0
13.586268499,1068,0.0
13.691500585,1068,0.0
13.796704996,1068,0.0
13.901882858,1068,0.0
14.007023972,1068,0.0
14.112172173,1068,0.0
14.217274179,1068,0.0
14.322412102,1068,0.0
14.427604017,1068,0.0
14.532901072,1068,0.0
14.638174880,1068,0.0
14.743499061,1068,0.0
14.848740819,1068,0.0
14.953909823,1068,0.0
15.059103346,1068,0.0
15.164265717,1068,0.0
15.269406511,1068,0.0
15.374563166,1068,0.0
15.479707101,1068,0.0
15.584828865,1068,0.0
15.690025449,1068,0.0
15.795169831,1068,0.0
15.900313999,1068,0.0
16.005448494,1068,0.0
16.110581316,1068,0.0
16.215675834,1068,0.0
16.320793117,1068,0.0
16.425904657,1068,0.0
16.531058008,1068,0.0
16.636233585,1068,0.0
16.741376536,1068,0.0
16.846475237,1068,0.0
16.951630938,1068,0.0
17.056797462,1068,0.0
17.161930573,1068,0.0
17.267052835,1068,0.0
17.372122177,1068,0.0
17.477255415,1068,0.0
17.582357908,1068,0.0
17.687484690,1068,0.0
17.792610515,1068,0.0
17.897746060,1068,0.0
18.002832153,1068,0.0
18.107965457,1068,0.0
18.213046719,1068,0.0
18.318135762,1068,0.0
18.423231288,1068,0.0
18.528331642,1068,0.0
18.633449739,1068,0.0
18.738530356,1068,0.0
18.843696367,1068,0.0
18.948867688,1068,0.0
19.054043456,1068,0.0
19.159210969,1068,0.0
19.264400044,1068,0.0
19.369532088,1068,0.0
19.474840523,1068,0.0
