t_s,rss_kb,pcpu
.004733863,1080,0.0
.118312268,1080,0.0
.224072372,1080,0.0
.329745648,1080,0.0
.435221197,1080,0.0
.540478421,1080,0.0
.645746553,1080,0.0
.750956315,1080,0.0
.856155346,1080,0.0
.961468112,1080,0.0
1.123495014,1080,0.0
1.229281969,1080,0.0
1.334770390,1080,0.0
1.440072019,1080,0.0
1.545371021,1080,0.0
1.650618388,1080,0.0
1.755899294,1080,0.0
1.861131510,1080,0.0
1.966347882,1080,0.0
2.071549705,1080,0.0
2.176762606,1080,0.0
2.281950739,1080,0.0
2.387200186,1080,0.0
2.492392979,1080,0.0
2.597605697,1080,0.0
2.702769323,1080,0.0
2.807943086,1080,0.0
2.913142238,1080,0.0
3.018330534,1080,0.0
3.123527231,1080,0.0
3.228709015,1080,0.0
3.333857435,1080,0.0
3.439016418,1080,0.0
3.544139522,1080,0.0
3.649328753,1080,0.0
3.754524987,1080,0.0
3.859714442,1080,0.0
3.964910615,1080,0.0
4.070043331,1080,0.0
4.175220365,1080,0.0
4.280364655,1080,0.0
4.385521882,1080,0.0
4.490687795,1080,0.0
4.595815613,1080,0.0
4.700985197,1080,0.0
4.806157757,1080,0.0
4.912057991,1080,0.0
5.017381898,1080,0.0
5.122649299,1080,0.0
5.227910007,1080,0.0
5.333121812,1080,0.0
5.438262255,1080,0.0
5.543667970,1080,0.0
5.650435102,1080,0.0
5.757905332,1080,0.0
5.864943898,1080,0.0
5.972198335,1080,0.0
6.079237167,1080,0.0
6.186638148,1080,0.0
6.293619331,1080,0.0
6.400587280,1080,0.0
6.506289853,1080,0.0
6.612635628,1080,0.0
