label,status,machine,test,impl,mode,threads,chain_len,input,n_events,n_tracks,wall_setup,wall_loop,bytes_setup,bytes_loop,bytes_total,peak_rss_kb,time_maxrss_kb,cpu_percent,elapsed_s,events_per_s,tracks_per_s,event_loops,root_version,checksums
r1_filter_rdf_t1,ok,ares,filter,rdf,vector,1,,test.root,346825,,5.661648947745562,0.3514582347124815,2501089,2104981,4607759,500792,501468,120,7.24,986817.1115231606,,,6.32.10,"{""events_passed"": 59946}"
r1_chain_rdf-lazy_l5_t1,ok,ares,chain,rdf-lazy,vector,1,5,test.root,346825,,3.5534682841971517,0.8281115842983127,6913683,6517575,13432947,515528,515636,171,5.58,418814.33200077346,,1,6.32.10,"{""events_passed"": 54156, ""intermediate"": null}"
r1_eff_jit_t1,ok,ares,efficiency,jit,vector,1,,test.root,346825,514131,5.387228327803314,0.9966901149600744,11357961,11033523,22393173,562640,562640,145,7.63,347976.76308236807,515838.3656896157,,6.32.10,"{""eff_sum"": 62512.31060427427, ""eff_hits"": 64862}"
r1_filter_rdf_t2,ok,ares,filter,rdf,vector,2,,test.root,346825,,2.913070729933679,0.28984836395829916,2501089,2477421,4980199,512676,513024,198,4.38,1196573.9439188214,,,6.32.10,"{""events_passed"": 59946}"
r1_chain_rdf-lazy_l5_t2,ok,ares,chain,rdf-lazy,vector,2,5,test.root,346825,,3.3864412512630224,0.5662987250834703,6913683,6890015,13805387,526188,526232,191,5.04,612441.781409413,,1,6.32.10,"{""events_passed"": 54156, ""intermediate"": null}"
r1_eff_jit_t2,ok,ares,efficiency,jit,vector,2,,test.root,346825,514131,4.653285708278418,0.689998559653759,11357961,11405963,22765613,564380,564540,172,6.42,502645.9767887583,745118.9467090927,,6.32.10,"{""eff_sum"": 62512.31060427427, ""eff_hits"": 64862}"
r1_filter_rdf_t4,ok,ares,filter,rdf,vector,4,,test.root,346825,,2.7467773193493485,0.2614303380250931,2501089,3222301,5725079,527836,528188,212,4.04,1326644.0407031507,,,6.32.10,"{""events_passed"": 59946}"
r1_chain_rdf-lazy_l5_t4,ok,ares,chain,rdf-lazy,vector,4,5,test.root,346825,,3.3101347144693136,0.4435456274077296,6913683,7634895,14550267,544480,544496,202,4.8,781937.5923667507,,1,6.32.10,"{""events_passed"": 54156, ""intermediate"": null}"
r1_eff_jit_t4,ok,ares,efficiency,jit,vector,4,,test.root,346825,514131,4.626208033412695,0.5381302796304226,11357961,12150843,23510493,585244,585484,179,6.22,644500.0646278308,955402.4730834607,,6.32.10,"{""eff_sum"": 62512.31060427427, ""eff_hits"": 64862}"
r1_filter_rdf_t8,ok,ares,filter,rdf,vector,8,,test.root,346825,,2.778563749976456,0.25194838643074036,2501089,4712061,7214839,563440,563952,215,4.11,1376571.6260911275,,,6.32.10,"{""events_passed"": 59946}"
r1_chain_rdf-lazy_l5_t8,ok,ares,chain,rdf-lazy,vector,8,5,test.root,346825,,3.3051870092749596,0.36648230999708176,6913683,9124655,16040027,579872,579928,209,4.73,946362.1859476975,,1,6.32.10,"{""events_passed"": 54156, ""intermediate"": null}"
r1_eff_jit_t8,ok,ares,efficiency,jit,vector,8,,test.root,346825,514131,4.754551501944661,0.4538613921031356,11357961,13640603,25000253,623284,624160,181,6.33,764165.0204985653,1132792.9824953447,,6.32.10,"{""eff_sum"": 62512.31060427427, ""eff_hits"": 64862}"
r1_filter_rdf_t16,ok,ares,filter,rdf,vector,16,,test.root,346825,,2.8679966712370515,0.3089305963367224,2501089,7691581,10194359,637460,638396,227,4.24,1122663.1616053148,,,6.32.10,"{""events_passed"": 59946}"
r1_chain_rdf-lazy_l5_t16,ok,ares,chain,rdf-lazy,vector,16,5,test.root,346825,,3.2798842089250684,0.3716200478374958,6913683,12104175,19019547,651040,651156,225,4.69,933278.4978049991,,1,6.32.10,"{""events_passed"": 54156, ""intermediate"": null}"
r1_eff_jit_t16,ok,ares,efficiency,jit,vector,16,,test.root,346825,514131,4.7288853880018,0.4688770566135645,11357961,16620123,27979773,696352,698396,195,6.33,739692.8365506346,1096515.5849451865,,6.32.10,"{""eff_sum"": 62512.31060427427, ""eff_hits"": 64862}"
r1_filter_rdf_t32,ok,ares,filter,rdf,vector,32,,test.root,346825,,2.762859125621617,0.4143808064982295,2501089,13650621,16153399,783660,784828,283,4.25,836971.6805439971,,,6.32.10,"{""events_passed"": 59946}"
r1_chain_rdf-lazy_l5_t32,ok,ares,chain,rdf-lazy,vector,32,5,test.root,346825,,3.3128554886206985,0.46616779919713736,6913683,18063215,24978587,794820,794820,266,4.82,743991.7570396822,,1,6.32.10,"{""events_passed"": 54156, ""intermediate"": null}"
r1_eff_jit_t32,ok,ares,efficiency,jit,vector,32,,test.root,346825,514131,4.6137369349598885,0.5266625080257654,11357961,22579163,33938813,848388,849752,233,6.22,658533.68089576,976205.8095368498,,6.32.10,"{""eff_sum"": 62512.31060427427, ""eff_hits"": 64862}"
r1_filter_rdf_t48,ok,ares,filter,rdf,vector,48,,test.root,346825,,2.7622253727167845,0.5655563315376639,2501089,15512821,18015599,837308,838064,343,4.38,613245.720469673,,,6.32.10,"{""events_passed"": 59946}"
r1_chain_rdf-lazy_l5_t48,ok,ares,chain,rdf-lazy,vector,48,5,test.root,346825,,3.3212290229275823,0.5359140448272228,6913683,20297855,27213227,848872,848920,277,4.92,647165.349271291,,1,6.32.10,"{""events_passed"": 54156, ""intermediate"": null}"
r1_eff_jit_t48,ok,ares,efficiency,jit,vector,48,,test.root,346825,514131,4.634176814928651,0.5829647844657302,11357961,24813803,36173453,898080,902760,232,6.35,594933.020384507,881924.6268386275,,6.32.10,"{""eff_sum"": 62512.31060427427, ""eff_hits"": 64862}"
r1_chain_rdf-lazy_l1,ok,ares,chain,rdf-lazy,vector,0,1,test.root,346825,,2.6480175629258156,0.17531979829072952,1722404,581416,2305509,492052,492672,210,3.9,1978242.0661063425,,1,6.32.10,"{""events_passed"": 311565, ""intermediate"": null}"
r1_chain_rdf-eager_l1,ok,ares,chain,rdf-eager,vector,0,1,test.root,346825,,2.6554831843823195,0.6927516590803862,1722404,581416,2305509,499064,499644,198,4.37,500648.3859748574,,2,6.32.10,"{""events_passed"": 311565, ""intermediate"": [346825, 311565]}"
r1_chain_rdf-report_l1,ok,ares,chain,rdf-report,vector,0,1,test.root,346825,,2.66020021494478,1.248305693268776,1722404,581416,2305509,509680,510256,187,4.93,277836.5923268478,,1,6.32.10,"{""events_passed"": 311565, ""intermediate"": [346825, 311565]}"
r1_chain_rdf-lazy_l2,ok,ares,chain,rdf-lazy,vector,0,2,test.root,346825,,2.983530811034143,0.361834897659719,2501089,1360101,3862879,506084,506668,198,4.37,958517.2747106478,,1,6.32.10,"{""events_passed"": 276737, ""intermediate"": null}"
r1_chain_rdf-eager_l2,ok,ares,chain,rdf-eager,vector,0,2,test.root,346825,,2.9892076225951314,0.9873494012281299,2501089,1568169,4070947,507736,508312,185,5.0,351268.7601456955,,3,6.32.10,"{""events_passed"": 276737, ""intermediate"": [346825, 311565, 276737]}"
r1_chain_rdf-report_l2,ok,ares,chain,rdf-report,vector,0,2,test.root,346825,,3.021168771199882,1.4505905294790864,2501089,1360101,3862879,517120,517688,177,5.55,239092.28204085023,,1,6.32.10,"{""events_passed"": 276737, ""intermediate"": [346825, 311565, 276737]}"
r1_chain_rdf-lazy_l3,ok,ares,chain,rdf-lazy,vector,0,3,test.root,346825,,2.9961921963840723,0.45787340868264437,2981223,1840235,4823147,502968,503520,194,4.53,757469.1900057186,,1,6.32.10,"{""events_passed"": 75275, ""intermediate"": null}"
r1_chain_rdf-eager_l3,ok,ares,chain,rdf-eager,vector,0,3,test.root,346825,,3.0092853093519807,1.3821957996115088,2981223,3035964,6018876,510724,511300,178,5.47,250923.20501732203,,4,6.32.10,"{""events_passed"": 75275, ""intermediate"": [346825, 311565, 276737, 75275]}"
r1_chain_rdf-report_l3,ok,ares,chain,rdf-report,vector,0,3,test.root,346825,,2.9928271239623427,1.542557475157082,2981223,1840235,4823147,516856,517420,176,5.6,224837.65148827407,,1,6.32.10,"{""events_passed"": 75275, ""intermediate"": [346825, 311565, 276737, 75275]}"
r1_chain_rdf-lazy_l4,ok,ares,chain,rdf-lazy,vector,0,4,test.root,346825,,3.002015098929405,0.4726943764835596,2981223,1840235,4823147,503876,504456,194,4.55,733719.3274438344,,1,6.32.10,"{""events_passed"": 59946, ""intermediate"": null}"
r1_chain_rdf-eager_l4,ok,ares,chain,rdf-eager,vector,0,4,test.root,346825,,3.011156923137605,1.7756851138547063,2981223,4503759,7486671,508884,509460,173,5.85,195318.97704942894,,5,6.32.10,"{""events_passed"": 59946, ""intermediate"": [346825, 311565, 276737, 75275, 59946]}"
r1_chain_rdf-report_l4,ok,ares,chain,rdf-report,vector,0,4,test.root,346825,,3.0002175997942686,1.5606601675972342,2981223,1840235,4823147,517228,517800,176,5.59,222229.67382704836,,1,6.32.10,"{""events_passed"": 59946, ""intermediate"": [346825, 311565, 276737, 75275, 59946]}"
r1_chain_rdf-lazy_l5,ok,ares,chain,rdf-lazy,vector,0,5,test.root,346825,,3.276898426003754,0.7311748340725899,6913683,5772695,12688067,511904,511904,185,5.03,474339.35611297004,,1,6.32.10,"{""events_passed"": 54156, ""intermediate"": null}"
r1_chain_rdf-eager_l5,ok,ares,chain,rdf-eager,vector,0,5,test.root,346825,,3.3009827099740505,2.452049572020769,6913683,9904014,16819386,518488,519056,162,6.8,141442.89901699522,,6,6.32.10,"{""events_passed"": 54156, ""intermediate"": [346825, 311565, 276737, 75275, 59946, 54156]}"
r1_chain_rdf-report_l5,ok,ares,chain,rdf-report,vector,0,5,test.root,346825,,3.2994192000478506,1.8196347188204527,6913683,5772695,12688067,526112,526668,169,6.2,190601.44127433634,,1,6.32.10,"{""events_passed"": 54156, ""intermediate"": [346825, 311565, 276737, 75275, 59946, 54156]}"
r1_filter_python_vector,ok,ares,filter,python,vector,0,,test.root,346825,,0.47078350000083447,4.196446222253144,768548,1360101,2130338,703188,703188,173,5.76,82647.31194715126,,,6.32.10,"{""events_passed"": 59946}"
r1_filter_python_loop,ok,ares,filter,python,loop,0,,test.root,346825,,0.46886512637138367,2.8555375253781676,768548,1360101,2130338,657872,657872,194,4.41,121456.99256887507,,,6.32.10,"{""events_passed"": 59946}"
r1_chain_python_l1,ok,ares,chain,python,vector,0,1,test.root,346825,,0.4637977546080947,1.6122794700786471,768548,581416,1351653,485548,486044,236,3.12,215114.6909927978,,1,6.32.10,"{""events_passed"": 311565, ""intermediate"": [346825, 311565]}"
r1_chain_python_l2,ok,ares,chain,python,vector,0,2,test.root,346825,,0.46022793743759394,25.637556076049805,768548,1360101,2130338,669524,669524,115,27.14,13528.005515471046,,1,6.32.10,"{""events_passed"": 276737, ""intermediate"": [346825, 311565, 276737]}"
r1_chain_python_l3,ok,ares,chain,python,vector,0,3,test.root,346825,,0.4767781076952815,35.637825870886445,768548,1840235,2610472,840856,840856,111,37.21,9731.934862034646,,1,6.32.10,"{""events_passed"": 75275, ""intermediate"": [346825, 311565, 276737, 75275]}"
r1_chain_python_l4,ok,ares,chain,python,vector,0,4,test.root,346825,,0.47842162288725376,44.8677018051967,768548,1840235,2610472,838868,838868,108,46.45,7729.9479591314785,,1,6.32.10,"{""events_passed"": 59946, ""intermediate"": [346825, 311565, 276737, 75275, 59946]}"
r1_chain_python_l5,ok,ares,chain,python,vector,0,5,test.root,346825,,0.46506967209279537,53.9915946284309,768548,5772695,6542932,1024352,1024352,107,55.52,6423.685064070489,,1,6.32.10,"{""events_passed"": 54156, ""intermediate"": [346825, 311565, 276737, 75275, 59946, 54156]}"
r1_eff_python_vector,ok,ares,efficiency,python,vector,0,,test.root,346825,514131,1.505842606537044,4.050805106759071,1140988,10288643,11431320,658752,658752,164,6.62,85618.78215797065,126920.69513345235,,6.32.10,"{""eff_sum"": 62512.310602903366, ""eff_hits"": 64862}"
r1_eff_python_loop,ok,ares,efficiency,python,loop,0,,test.root,346825,514131,1.5275348601862788,3.4171994561329484,1140988,10288643,11431320,616756,616756,171,6.05,101493.92929860824,150453.90431549845,,6.32.10,"{""eff_sum"": 62512.310602903366, ""eff_hits"": 64862}"
r1_eff_correctionlib,ok,ares,efficiency,correctionlib,vector,0,,test.root,346825,514131,1.5317356120795012,3.640598116442561,1140988,10288643,11431320,618700,618700,168,6.31,95265.93952614104,141221.5750148185,,6.32.10,"{""eff_sum"": 62512.310602903366, ""eff_hits"": 64862}"
r2_filter_rdf_t1,ok,ares,filter,rdf,vector,1,,test.root,346825,,2.777078508399427,0.3577259760349989,2501089,2104981,4607759,501828,502476,202,4.2,969527.0213367665,,,6.32.10,"{""events_passed"": 59946}"
r2_chain_rdf-lazy_l5_t1,ok,ares,chain,rdf-lazy,vector,1,5,test.root,346825,,3.310089748352766,0.8222848428413272,6913683,6517575,13432947,515548,515604,182,5.21,421782.0661774321,,1,6.32.10,"{""events_passed"": 54156, ""intermediate"": null}"
r2_eff_jit_t1,ok,ares,efficiency,jit,vector,1,,test.root,346825,514131,4.638781745918095,0.9861286077648401,11357961,11033523,22393173,562824,562824,163,6.74,351703.6188475597,521363.03110131825,,6.32.10,"{""eff_sum"": 62512.31060427427, ""eff_hits"": 64862}"
r2_filter_rdf_t2,ok,ares,filter,rdf,vector,2,,test.root,346825,,2.789469107054174,0.28746378142386675,2501089,2477421,4980199,511492,512148,207,4.11,1206499.8181061456,,,6.32.10,"{""events_passed"": 59946}"
