t_s,rss_kb,pcpu
.004560637,1080,0.0
.118012259,1080,0.0
.223871512,1080,0.0
.329628570,1080,0.0
.435186132,1080,0.0
.540475148,1080,0.0
.645768396,1080,0.0
.751048641,1080,0.0
.856301831,1080,0.0
.961575258,1080,0.0
1.097694177,1080,0.0
1.204231781,1080,0.0
1.309684528,1080,0.0
1.415105050,1080,0.0
1.520429445,1080,0.0
1.625717116,1080,0.0
1.730957487,1080,0.0
1.836161285,1080,0.0
1.941391549,1080,0.0
2.046607457,1080,0.0
2.151834985,1080,0.0
2.257030600,1080,0.0
2.362279231,1080,0.0
2.467431613,1080,0.0
2.572611385,1080,0.0
2.677791089,1080,0.0
2.782955451,1080,0.0
2.888078151,1080,0.0
2.993238891,1080,0.0
3.098409481,1080,0.0
3.203584935,1080,0.0
3.308740768,1080,0.0
3.413927086,1080,0.0
3.519078394,1080,0.0
3.624256919,1080,0.0
3.729395178,1080,0.0
3.834578876,1080,0.0
3.939841470,1080,0.0
4.044997263,1080,0.0
4.150224556,1080,0.0
4.255489813,1080,0.0
4.360625447,1080,0.0
4.465799940,1080,0.0
4.570949453,1080,0.0
4.676097951,1080,0.0
4.781247499,1080,0.0
4.886346582,1080,0.0
4.991506284,1080,0.0
5.096610679,1080,0.0
5.201758634,1080,0.0
5.306879998,1080,0.0
5.411987175,1080,0.0
5.517129178,1080,0.0
