t_s,rss_kb,pcpu
.004754133,1060,0.0
.120276959,1060,0.0
.226281311,1060,0.0
.332110665,1060,0.0
.437661285,1060,0.0
.542966236,1060,0.0
.648289881,1060,0.0
.753505808,1060,0.0
.858733233,1060,0.0
.963959623,1060,0.0
1.131006717,1060,0.0
1.236547242,1060,0.0
1.341905121,1060,0.0
1.447150978,1060,0.0
1.552413073,1060,0.0
1.657588905,1060,0.0
1.762753029,1060,0.0
1.867910680,1060,0.0
1.973068649,1060,0.0
2.078279535,1060,0.0
2.184460836,1060,0.0
2.289808250,1060,0.0
2.395049104,1060,0.0
2.500285460,1060,0.0
2.605552569,1060,0.0
2.710733095,1060,0.0
2.815918136,1060,0.0
2.921114131,1060,0.0
3.026243478,1060,0.0
3.131426146,1060,0.0
3.236539225,1060,0.0
3.341704244,1060,0.0
3.446793777,1060,0.0
3.551884806,1060,0.0
3.657026667,1060,0.0
3.762164357,1060,0.0
3.867321186,1060,0.0
3.972451837,1060,0.0
4.077603504,1060,0.0
4.182740371,1060,0.0
4.287852674,1060,0.0
4.392960644,1060,0.0
4.498069151,1060,0.0
4.603183544,1060,0.0
4.708298158,1060,0.0
4.813404817,1060,0.0
4.918511462,1060,0.0
5.023619954,1060,0.0
5.128675173,1060,0.0
5.233772207,1060,0.0
5.338878319,1060,0.0
5.444022874,1060,0.0
5.549133606,1060,0.0
5.654287762,1060,0.0
5.759401527,1060,0.0
5.864505992,1060,0.0
5.969665948,1060,0.0
6.074732427,1060,0.0
6.179854136,1060,0.0
6.284988538,1060,0.0
