t_s,rss_kb,pcpu
.004997467,1080,0.0
.118546486,1080,0.0
.224285503,1080,0.0
.329918617,1080,0.0
.435355668,1080,0.0
.540573994,1080,0.0
.645764273,1080,0.0
.750936707,1080,0.0
.856104327,1080,0.0
.961253586,1080,0.0
1.066527763,1080,0.0
1.171683532,1080,0.0
1.276828766,1080,0.0
1.382009899,1080,0.0
1.487208134,1080,0.0
1.593270169,1080,0.0
1.698563029,1080,0.0
1.803797806,1080,0.0
1.908998268,1080,0.0
2.014130804,1080,0.0
2.119252117,1080,0.0
2.224479745,1080,0.0
2.329643542,1080,0.0
2.434810243,1080,0.0
2.539999910,1080,0.0
2.645208517,1080,0.0
2.750338962,1080,0.0
2.855511057,1080,0.0
2.960831327,1080,0.0
3.066163779,1080,0.0
3.171355189,1080,0.0
3.276510773,1080,0.0
3.381631459,1080,0.0
3.486728350,1080,0.0
3.591874716,1080,0.0
3.696998125,1080,0.0
3.802090757,1080,0.0
3.907207763,1080,0.0
4.012351044,1080,0.0
4.117535870,1080,0.0
4.222694565,1080,0.0
4.327841874,1080,0.0
4.433001082,1080,0.0
4.538101228,1080,0.0
4.643203993,1080,0.0
4.748327540,1080,0.0
4.853474615,1080,0.0
4.958572285,1080,0.0
5.063714632,1080,0.0
5.168874405,1080,0.0
5.273991455,1080,0.0
5.379073213,1080,0.0
5.484239985,1080,0.0
5.589399716,1080,0.0
5.694589311,1080,0.0
5.799777462,1080,0.0
5.904961174,1080,0.0
6.010124694,1080,0.0
6.115287903,1080,0.0
6.220438404,1080,0.0
6.325573195,1080,0.0
6.430763554,1080,0.0
6.535920917,1080,0.0
6.641054999,1080,0.0
6.746165204,1080,0.0
6.851255770,1080,0.0
6.956343308,1080,0.0
7.061506682,1080,0.0
7.166644667,1080,0.0
7.271797608,1080,0.0
7.376922330,1080,0.0
7.482045011,1080,0.0
7.587154147,1080,0.0
7.692240540,1080,0.0
7.797324574,1080,0.0
7.902474194,1080,0.0
8.007600425,1080,0.0
8.112716130,1080,0.0
8.217843110,1080,0.0
8.322951188,1080,0.0
8.428062705,1080,0.0
8.533185921,1080,0.0
8.638285039,1080,0.0
8.743441334,1080,0.0
8.848538561,1080,0.0
8.953700048,1080,0.0
9.058837975,1080,0.0
9.163948634,1080,0.0
9.269086383,1080,0.0
9.374199778,1080,0.0
9.479328486,1080,0.0
9.584509312,1080,0.0
9.689599995,1080,0.0
9.794719412,1080,0.0
9.899837073,1080,0.0
10.005036427,1080,0.0
10.110242865,1080,0.0
10.215372755,1080,0.0
10.320477917,1080,0.0
10.425637097,1080,0.0
10.530739064,1080,0.0
10.635857678,1080,0.0
10.740960403,1080,0.0
10.846039454,1080,0.0
10.951130301,1080,0.0
11.056251916,1080,0.0
11.161344374,1080,0.0
11.266461165,1080,0.0
11.371569126,1080,0.0
11.476710177,1080,0.0
11.581849985,1080,0.0
11.686988701,1080,0.0
11.792078179,1080,0.0
11.897195739,1080,0.0
12.002314759,1080,0.0
12.107466496,1080,0.0
12.212622881,1080,0.0
12.317733069,1080,0.0
12.422836722,1080,0.0
12.527979376,1080,0.0
12.633098071,1080,0.0
12.738161999,1080,0.0
12.843265987,1080,0.0
12.948358154,1080,0.0
13.053485261,1080,0.0
13.158593874,1080,0.0
13.263699381,1080,0.0
13.368817027,1080,0.0
13.473937013,1080,0.0
13.579052400,1080,0.0
13.684140139,1080,0.0
13.789223242,1080,0.0
13.894316611,1080,0.0
13.999459968,1080,0.0
14.104549180,1080,0.0
14.209663073,1080,0.0
14.314766168,1080,0.0
14.419895500,1080,0.0
14.525015219,1080,0.0
14.630122914,1080,0.0
14.735232221,1080,0.0
14.840356916,1080,0.0
14.945510230,1080,0.0
15.050642836,1080,0.0
15.155745297,1080,0.0
15.260851230,1080,0.0
15.365967192,1080,0.0
15.471080885,1080,0.0
15.576171491,1080,0.0
15.681286530,1080,0.0
15.786525355,1080,0.0
15.891657022,1080,0.0
15.996766022,1080,0.0
16.101938846,1080,0.0
16.207060622,1080,0.0
16.312197243,1080,0.0
16.417330763,1080,0.0
16.522507939,1080,0.0
16.627635664,1080,0.0
16.732759867,1080,0.0
16.837868623,1080,0.0
16.943023025,1080,0.0
17.048098938,1080,0.0
17.153183461,1080,0.0
17.258281913,1080,0.0
17.363566633,1080,0.0
17.468970304,1080,0.0
17.574407142,1080,0.0
17.679775052,1080,0.0
17.785070274,1080,0.0
17.890343774,1080,0.0
17.995594048,1080,0.0
18.100889017,1080,0.0
18.206142355,1080,0.0
18.311441919,1080,0.0
18.416696663,1080,0.0
18.521959393,1080,0.0
18.627219393,1080,0.0
18.732477934,1080,0.0
18.837701753,1080,0.0
18.942954903,1080,0.0
19.048176627,1080,0.0
19.153414378,1080,0.0
19.258667043,1080,0.0
19.363889508,1080,0.0
19.469162392,1080,0.0
19.574437261,1080,0.0
19.679674366,1080,0.0
19.784943239,1080,0.0
19.890163058,1080,0.0
19.995413600,1080,0.0
20.100668868,1080,0.0
20.205887549,1080,0.0
20.311133864,1080,0.0
20.416383770,1080,0.0
20.521655140,1080,0.0
20.626878831,1080,0.0
20.732147089,1080,0.0
20.837380376,1080,0.0
20.942604947,1080,0.0
21.047872116,1080,0.0
21.153095137,1080,0.0
21.258334788,1080,0.0
21.363545446,1080,0.0
21.468802587,1080,0.0
21.573977177,1080,0.0
21.679262343,1080,0.0
21.784578357,1080,0.0
21.889842799,1080,0.0
21.995075220,1080,0.0
22.100278666,1080,0.0
22.205530433,1080,0.0
22.310765517,1080,0.0
22.416255140,1080,0.0
22.521626107,1080,0.0
22.626888362,1080,0.0
22.732196708,1080,0.0
22.837413622,1080,0.0
22.942621077,1080,0.0
23.047872096,1080,0.0
23.153079728,1080,0.0
23.258262266,1080,0.0
23.363433684,1080,0.0
23.468630293,1080,0.0
23.573846255,1080,0.0
23.679010732,1080,0.0
23.784181632,1080,0.0
23.889323766,1080,0.0
23.994499863,1080,0.0
24.099636396,1080,0.0
24.204796743,1080,0.0
24.309969873,1080,0.0
24.415112201,1080,0.0
24.520369722,1080,0.0
24.625540643,1080,0.0
24.730676081,1080,0.0
24.835859573,1080,0.0
24.941024157,1080,0.0
25.046196042,1080,0.0
25.151336808,1080,0.0
25.256501922,1080,0.0
25.361641947,1080,0.0
25.466789029,1080,0.0
25.571907587,1080,0.0
25.677046669,1080,0.0
25.782178508,1080,0.0
25.887303290,1080,0.0
25.992472659,1080,0.0
26.097578229,1080,0.0
26.202721335,1080,0.0
26.307846971,1080,0.0
26.413022777,1080,0.0
26.518161160,1080,0.0
26.623260618,1080,0.0
26.728380045,1080,0.0
26.833549935,1080,0.0
26.938709593,1080,0.0
27.043831307,1080,0.0
27.148929652,1080,0.0
27.254048214,1080,0.0
27.359188208,1080,0.0
27.464320881,1080,0.0
27.569458261,1080,0.0
27.674566762,1080,0.0
27.779669740,1080,0.0
27.884762748,1080,0.0
