t_s,rss_kb,pcpu
.004972319,1076,0.0
.117699252,1076,0.0
.223743830,1076,0.0
.329743861,1076,0.0
.435384338,1076,0.0
.540718753,1076,0.0
.646025411,1076,0.0
.751297236,1076,0.0
.856619811,1076,0.0
.961879441,1076,0.0
1.109955316,1076,0.0
1.215640088,1076,0.0
1.320988697,1076,0.0
1.426283631,1076,0.0
1.531512330,1076,0.0
1.636761863,1076,0.0
1.741936976,1076,0.0
1.847129433,1076,0.0
1.952271557,1076,0.0
2.057603832,1076,0.0
2.162834155,1076,0.0
2.268049800,1076,0.0
2.373187206,1076,0.0
2.478375296,1076,0.0
2.583527160,1076,0.0
2.688661197,1076,0.0
2.793804893,1076,0.0
2.898925643,1076,0.0
3.004129200,1076,0.0
3.109395967,1076,0.0
3.214557283,1076,0.0
3.319687091,1076,0.0
3.424765734,1076,0.0
3.529829656,1076,0.0
3.634950095,1076,0.0
3.740081987,1076,0.0
3.845182552,1076,0.0
3.950280405,1076,0.0
4.055391310,1076,0.0
4.160488956,1076,0.0
4.265594978,1076,0.0
4.370683992,1076,0.0
4.475915012,1076,0.0
4.581129189,1076,0.0
4.686257571,1076,0.0
4.791423295,1076,0.0
4.896546205,1076,0.0
5.001687064,1076,0.0
5.106778527,1076,0.0
5.211902093,1076,0.0
5.317056542,1076,0.0
5.422173410,1076,0.0
5.527273618,1076,0.0
5.632392208,1076,0.0
5.737516751,1076,0.0
5.842643530,1076,0.0
5.947637382,1076,0.0
6.052508990,1076,0.0
6.158143666,1076,0.0
6.263707447,1076,0.0
